"TipLabel"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"Seira_ritae"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Seira"	"Seira ritae"
"Seira_sanloemensis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Seira"	"Seira sanloemensis"
"Seira_sp1"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Seira"	"Seira sp. 1"
"Seira_sp3"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Seira"	"Seira sp. 2"
"Seira_spn1"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Seira"	"Seira boneti"
"Seira_tinguira"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Seira"	"Seira tinguira"
"Tyrannoseira_bicolorcornuta_AM12"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Tyrannoseira"	"Tyrannoseira bicolorcornuta AM12"
"Tyrannoseira_bicolorcornuta_AM57"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Tyrannoseira"	"Tyrannoseira bicolorcornuta AM57"
"Tyrannoseira_gladiata"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Tyrannoseira"	"Tyrannoseira gladiata"
"Tyrannoseira_raptora"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Entomobryidae"	"Tyrannoseira"	"Tyrannoseira raptora"
"Anurophorus_chukoticus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Anurophorus"	"Anurophorus chukoticus"
"Cryptopygus_antarcticus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Cryptopygus"	"Cryptopygus antarcticus"
"Cryptopygus_a_travei"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Cryptopygus"	"Cryptopygus a. travei"
"Cryptopygus_terranovus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Cryptopygus"	"Cryptopygus terranovus"
"Folsomia_candida"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Folsomia"	"Folsomia candida"
"Folsomia_cf_stella"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Folsomia"	"Folsomia cf. stella"
"Folsomia_cf_villosa"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Folsomia"	"Folsomia cf. villosa"
"Folsomia_ozeana"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Folsomia"	"Folsomia ozeana"
"Tetracanthella_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Tetracanthella"	"Tetracanthella sp."
"Desoria_cf_nivea"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Desoria"	"Desoria cf. nivea"
"Desoria_choi"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Desoria"	"Desoria choi"
"Desoria_tigrina"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Desoria"	"Desoria tigrina"
"Desoria_trispinata"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Desoria"	"Desoria trispinata"
"Folsomotoma_octooculata"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Folsomotoma"	"Folsomotoma octooculata"
"Isotoma_pinnata"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Isotoma"	"Isotoma pinnata"
"Isotoma_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Isotoma"	"Isotoma sp."
"Isotomurus_maculatus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Isotomurus"	"Isotomurus maculatus"
"Kaylathalia_klovstadi"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Kaylathalia"	"Kaylathalia klovstadi"
"Metisotoma_macnamarai"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Metisotoma"	"Metisotoma macnamarai"
"Parisot_cf_hyonosen"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Parisotoma"	"Parisotoma cf. hyonosenenis"
"Parisotoma_cf_ekmani"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Parisotoma"	"Parisotoma cf. ekmani"
"Pseudisotoma_sensibilis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Pseudisotoma"	"Pseudisotoma sensibilis"
"Semicerura_cf_goryshini"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Semicerura"	"Semicerura cf. goryshini"
"Semicerura_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Semicerura"	"Semicerura sp."
"Vertagopus_asiaticus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Vertagopus"	"Vertagopus asiaticus"
"Vertagopus_laricis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Vertagopus"	"Vertagopus laricis"
"Paranurophorus_simplex"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Paranurophorus"	"Paranurophorus simplex"
"Proisotoma_minuta"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Proisotoma"	"Proisotoma minuta"
