cluster	numt
Gnaphosidae_cluster30	TRUE
Gnaphosidae_cluster31	FALSE
Gnaphosidae_cluster32	FALSE
Gnaphosidae_cluster33	TRUE
Gnaphosidae_cluster34	TRUE
Gnaphosidae_cluster35	TRUE
Gnaphosidae_cluster36	TRUE
Gnaphosidae_cluster37	FALSE
Gnaphosidae_cluster4	FALSE
Gnaphosidae_cluster5	FALSE
Gnaphosidae_cluster6	FALSE
Gnaphosidae_cluster7	FALSE
Gnaphosidae_cluster8	FALSE
Gnaphosidae_cluster9	FALSE
Hahniidae_cluster1	FALSE
Hahniidae_cluster2	FALSE
Hahniidae_cluster3	FALSE
Hahniidae_cluster4	FALSE
Linyphiidae_cluster1	FALSE
Linyphiidae_cluster10	FALSE
Linyphiidae_cluster100	FALSE
Linyphiidae_cluster101	FALSE
Linyphiidae_cluster102	FALSE
Linyphiidae_cluster103	FALSE
Linyphiidae_cluster104	FALSE
Linyphiidae_cluster105	FALSE
Linyphiidae_cluster106	FALSE
Linyphiidae_cluster107	FALSE
Linyphiidae_cluster108	FALSE
Linyphiidae_cluster109	FALSE
Linyphiidae_cluster11	FALSE
Linyphiidae_cluster110	FALSE
Linyphiidae_cluster111	FALSE
Linyphiidae_cluster112	FALSE
Linyphiidae_cluster113	FALSE
Linyphiidae_cluster114	FALSE
Linyphiidae_cluster115	FALSE
Linyphiidae_cluster116	FALSE
Linyphiidae_cluster117	FALSE
Linyphiidae_cluster118	FALSE
Linyphiidae_cluster119	FALSE
Linyphiidae_cluster12	FALSE
Linyphiidae_cluster120	FALSE
Linyphiidae_cluster121	FALSE
Linyphiidae_cluster122	FALSE
Linyphiidae_cluster123	FALSE
Linyphiidae_cluster124	FALSE
Linyphiidae_cluster125	FALSE
Linyphiidae_cluster126	FALSE
Linyphiidae_cluster127	FALSE
Linyphiidae_cluster128	FALSE
Linyphiidae_cluster129	TRUE
Linyphiidae_cluster13	FALSE
Linyphiidae_cluster130	FALSE
Linyphiidae_cluster131	FALSE
Linyphiidae_cluster132	FALSE
Linyphiidae_cluster133	FALSE
Linyphiidae_cluster134	FALSE
Linyphiidae_cluster135	TRUE
Linyphiidae_cluster136	FALSE
Linyphiidae_cluster137	FALSE
Linyphiidae_cluster138	FALSE
Linyphiidae_cluster139	FALSE
Linyphiidae_cluster14	FALSE
Linyphiidae_cluster140	FALSE
Linyphiidae_cluster141	FALSE
Linyphiidae_cluster142	FALSE
