cluster	numt
Scirtidae_cluster9	FALSE
Staphylinidae_cluster36	FALSE
Elateridae_cluster4	FALSE
Anthicidae_cluster1	FALSE
Apionidae_cluster2	FALSE
Scirtidae_cluster7	FALSE
Curculionidae_cluster35	FALSE
Staphylinidae_cluster68	FALSE
Cryptophagidae_cluster6	FALSE
Cantharidae_cluster19	FALSE
Aderidae_cluster1	FALSE
Cantharidae_cluster35	FALSE
Endomychidae_cluster1	FALSE
Melyridae_cluster5	FALSE
Cerambycidae_cluster8	FALSE
Corylophidae_cluster8	TRUE
Coccinellidae_cluster9	FALSE
Elateridae_cluster19	FALSE
Staphylinidae_cluster90	FALSE
Coccinellidae_cluster13	FALSE
Ptinidae_cluster2	FALSE
Salpingidae_cluster3	FALSE
Cantharidae_cluster32	FALSE
Coccinellidae_cluster21	FALSE
Cantharidae_cluster33	FALSE
Coleoptera_X_cluster3	TRUE
Cantharidae_cluster17	FALSE
Curculionidae_cluster23	FALSE
Coccinellidae_cluster22	FALSE
Chrysomelidae_cluster17	FALSE
Curculionidae_cluster7	FALSE
Latridiidae_cluster2	FALSE
Staphylinidae_cluster93	FALSE
Cantharidae_cluster34	FALSE
unclassified.Coleoptera_cluster9	TRUE
Latridiidae_cluster10	FALSE
Pyrochroidae_cluster1	FALSE
Cryptophagidae_cluster2	FALSE
Leiodidae_cluster9	FALSE
Cantharidae_cluster42	TRUE
Cantharidae_cluster10	FALSE
Coccinellidae_cluster6	FALSE
Chrysomelidae_cluster35	FALSE
Chrysomelidae_cluster58	FALSE
Scraptiidae_cluster7	FALSE
Chrysomelidae_cluster66	FALSE
Chrysomelidae_cluster45	FALSE
Coccinellidae_cluster38	FALSE
Staphylinidae_cluster164	FALSE
Tenebrionidae_cluster3	FALSE
Chrysomelidae_cluster8	FALSE
Staphylinidae_cluster39	FALSE
Curculionidae_cluster56	FALSE
Melyridae_cluster4	FALSE
Anobiidae_cluster1	FALSE
Staphylinidae_cluster99	FALSE
unclassified.Coleoptera_cluster14	FALSE
Geotrupidae_cluster1	FALSE
Coccinellidae_cluster8	FALSE
unclassified.Coleoptera_cluster3	FALSE
Carabidae_cluster23	FALSE
Cerambycidae_cluster10	FALSE
Phalacridae_cluster2	FALSE
Ptinidae_cluster4	FALSE
Cantharidae_cluster22	FALSE
Coccinellidae_cluster25	FALSE
Chrysomelidae_cluster34	FALSE
Phalacridae_cluster3	FALSE
Coccinellidae_cluster2	FALSE
Elateridae_cluster11	FALSE
Oedemeridae_cluster3	FALSE
Elateridae_cluster21	FALSE
Scirtidae_cluster12	FALSE
Leiodidae_cluster5	FALSE
Malachiidae_cluster1	FALSE
Elateridae_cluster25	FALSE
