"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	39	TRUE	"dadn"	1.8	19578	3601	8073	104	991	491	0.0128824476650564	0.495459132189707
"Diptera"	40	TRUE	"dadn"	2.1	19578	3260	8073	84	991	545	0.0104050538833148	0.549949545913219
"Diptera"	41	TRUE	"dadn"	2.4	19578	2954	8073	62	991	583	0.00767992072339898	0.588294651866801
"Diptera"	42	TRUE	"dadn"	2.7	19578	2711	8073	50	991	616	0.00619348445435402	0.62159434914228
"Diptera"	43	TRUE	"wdadn"	1.2	19578	3347	8073	79	991	538	0.00978570543787935	0.542885973763875
"Diptera"	44	TRUE	"wdadn"	1.3	19578	3187	8073	69	991	560	0.00854700854700855	0.565085771947528
"Diptera"	45	TRUE	"wdadn"	1.5	19578	2921	8073	60	991	596	0.00743218134522482	0.601412714429869
"Diptera"	46	TRUE	"wdadn"	1.7	19578	2695	8073	53	991	631	0.00656509352161526	0.636730575176589
"Blattodea"	39	TRUE	"dadn"	1.8	49	22	5	1	2	2	0.2	1
"Blattodea"	40	TRUE	"dadn"	2.1	49	26	5	0	2	2	0	1
"Blattodea"	41	TRUE	"dadn"	2.4	49	22	5	0	2	2	0	1
"Blattodea"	42	TRUE	"dadn"	2.7	49	20	5	0	2	2	0	1
"Blattodea"	43	TRUE	"wdadn"	1.2	49	21	5	1	2	2	0.2	1
"Blattodea"	44	TRUE	"wdadn"	1.3	49	18	5	1	2	2	0.2	1
"Blattodea"	45	TRUE	"wdadn"	1.5	49	17	5	1	2	2	0.2	1
"Blattodea"	46	TRUE	"wdadn"	1.7	49	14	5	0	2	2	0	1
"Hymenoptera"	39	TRUE	"dadn"	1.8	15886	2648	5680	122	491	279	0.0214788732394366	0.568228105906314
"Hymenoptera"	40	TRUE	"dadn"	2.1	15886	2395	5680	114	491	296	0.0200704225352113	0.602851323828921
"Hymenoptera"	41	TRUE	"dadn"	2.4	15886	2162	5680	90	491	313	0.0158450704225352	0.637474541751528
"Hymenoptera"	42	TRUE	"dadn"	2.7	15886	1957	5680	81	491	328	0.0142605633802817	0.668024439918534
"Hymenoptera"	43	TRUE	"wdadn"	1.2	15886	2438	5680	94	491	305	0.0165492957746479	0.621181262729124
"Hymenoptera"	44	TRUE	"wdadn"	1.3	15886	2338	5680	88	491	311	0.0154929577464789	0.633401221995927
