"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Hymenoptera"	45	TRUE	"wdadn"	1.5	15886	2137	5680	75	491	324	0.0132042253521127	0.659877800407332
"Hymenoptera"	46	TRUE	"wdadn"	1.7	15886	1942	5680	60	491	343	0.0105633802816901	0.69857433808554
"Orthoptera"	39	TRUE	"dadn"	1.8	1431	578	27	5	13	9	0.185185185185185	0.692307692307692
"Orthoptera"	40	TRUE	"dadn"	2.1	1431	569	27	4	13	10	0.148148148148148	0.769230769230769
"Orthoptera"	41	TRUE	"dadn"	2.4	1431	569	27	4	13	9	0.148148148148148	0.692307692307692
"Orthoptera"	42	TRUE	"dadn"	2.7	1431	563	27	4	13	9	0.148148148148148	0.692307692307692
"Orthoptera"	43	TRUE	"wdadn"	1.2	1431	581	27	4	13	7	0.148148148148148	0.538461538461538
"Orthoptera"	44	TRUE	"wdadn"	1.3	1431	576	27	4	13	7	0.148148148148148	0.538461538461538
"Orthoptera"	45	TRUE	"wdadn"	1.5	1431	566	27	3	13	9	0.111111111111111	0.692307692307692
"Orthoptera"	46	TRUE	"wdadn"	1.7	1431	560	27	3	13	9	0.111111111111111	0.692307692307692
"Coleoptera"	39	TRUE	"dadn"	1.8	3107	504	1698	13	233	109	0.00765606595995289	0.467811158798283
"Coleoptera"	40	TRUE	"dadn"	2.1	3107	447	1698	10	233	130	0.00588928150765607	0.55793991416309
"Coleoptera"	41	TRUE	"dadn"	2.4	3107	399	1698	8	233	141	0.00471142520612485	0.605150214592275
"Coleoptera"	42	TRUE	"dadn"	2.7	3107	363	1698	7	233	145	0.00412249705535925	0.622317596566524
"Coleoptera"	43	TRUE	"wdadn"	1.2	3107	496	1698	12	233	121	0.00706713780918728	0.51931330472103
"Coleoptera"	44	TRUE	"wdadn"	1.3	3107	473	1698	11	233	125	0.00647820965842167	0.536480686695279
"Coleoptera"	45	TRUE	"wdadn"	1.5	3107	428	1698	8	233	133	0.00471142520612485	0.570815450643777
"Coleoptera"	46	TRUE	"wdadn"	1.7	3107	392	1698	6	233	137	0.00353356890459364	0.587982832618026
"Entomobryomorpha"	39	TRUE	"dadn"	1.8	976	292	193	5	82	63	0.0259067357512953	0.768292682926829
"Entomobryomorpha"	40	TRUE	"dadn"	2.1	976	266	193	4	82	66	0.0207253886010363	0.804878048780488
"Entomobryomorpha"	41	TRUE	"dadn"	2.4	976	233	193	2	82	69	0.0103626943005181	0.841463414634146
"Entomobryomorpha"	42	TRUE	"dadn"	2.7	976	199	193	2	82	72	0.0103626943005181	0.878048780487805
"Entomobryomorpha"	43	TRUE	"wdadn"	1.2	976	290	193	5	82	65	0.0259067357512953	0.792682926829268
"Entomobryomorpha"	44	TRUE	"wdadn"	1.3	976	275	193	4	82	65	0.0207253886010363	0.792682926829268
"Entomobryomorpha"	45	TRUE	"wdadn"	1.5	976	234	193	3	82	68	0.0155440414507772	0.829268292682927
"Entomobryomorpha"	46	TRUE	"wdadn"	1.7	976	201	193	2	82	68	0.0103626943005181	0.829268292682927
"Hemiptera"	39	TRUE	"dadn"	1.8	2142	295	878	12	116	60	0.0136674259681093	0.517241379310345
"Hemiptera"	40	TRUE	"dadn"	2.1	2142	256	878	9	116	66	0.010250569476082	0.568965517241379
"Hemiptera"	41	TRUE	"dadn"	2.4	2142	220	878	8	116	76	0.00911161731207289	0.655172413793103
"Hemiptera"	42	TRUE	"dadn"	2.7	2142	186	878	5	116	84	0.00569476082004556	0.724137931034483
"Hemiptera"	43	TRUE	"wdadn"	1.2	2142	283	878	12	116	68	0.0136674259681093	0.586206896551724
"Hemiptera"	44	TRUE	"wdadn"	1.3	2142	273	878	11	116	70	0.0125284738041002	0.603448275862069
"Hemiptera"	45	TRUE	"wdadn"	1.5	2142	240	878	8	116	70	0.00911161731207289	0.603448275862069
"Hemiptera"	46	TRUE	"wdadn"	1.7	2142	209	878	5	116	79	0.00569476082004556	0.681034482758621
"Lepidoptera"	39	TRUE	"dadn"	1.8	1968	175	1587	10	47	22	0.00630119722747322	0.468085106382979
"Lepidoptera"	40	TRUE	"dadn"	2.1	1968	162	1587	9	47	23	0.0056710775047259	0.48936170212766
"Lepidoptera"	41	TRUE	"dadn"	2.4	1968	148	1587	8	47	24	0.00504095778197858	0.51063829787234
"Lepidoptera"	42	TRUE	"dadn"	2.7	1968	136	1587	7	47	24	0.00441083805923125	0.51063829787234
"Lepidoptera"	43	TRUE	"wdadn"	1.2	1968	153	1587	8	47	23	0.00504095778197858	0.48936170212766
"Lepidoptera"	44	TRUE	"wdadn"	1.3	1968	146	1587	8	47	23	0.00504095778197858	0.48936170212766
"Lepidoptera"	45	TRUE	"wdadn"	1.5	1968	138	1587	7	47	25	0.00441083805923125	0.531914893617021
"Lepidoptera"	46	TRUE	"wdadn"	1.7	1968	123	1587	6	47	27	0.00378071833648393	0.574468085106383
"Dermaptera"	39	TRUE	"dadn"	1.8	9	0	5	0	0	0	0	NA
"Dermaptera"	40	TRUE	"dadn"	2.1	9	0	5	0	0	0	0	NA
"Dermaptera"	41	TRUE	"dadn"	2.4	9	0	5	0	0	0	0	NA
"Dermaptera"	42	TRUE	"dadn"	2.7	9	0	5	0	0	0	0	NA
"Dermaptera"	43	TRUE	"wdadn"	1.2	9	0	5	0	0	0	0	NA
"Dermaptera"	44	TRUE	"wdadn"	1.3	9	0	5	0	0	0	0	NA
"Dermaptera"	45	TRUE	"wdadn"	1.5	9	0	5	0	0	0	0	NA
"Dermaptera"	46	TRUE	"wdadn"	1.7	9	0	5	0	0	0	0	NA
"Plecoptera"	39	TRUE	"dadn"	1.8	64	15	38	2	9	5	0.0526315789473684	0.555555555555556
"Plecoptera"	40	TRUE	"dadn"	2.1	64	13	38	1	9	5	0.0263157894736842	0.555555555555556
"Plecoptera"	41	TRUE	"dadn"	2.4	64	10	38	1	9	6	0.0263157894736842	0.666666666666667
"Plecoptera"	42	TRUE	"dadn"	2.7	64	9	38	1	9	6	0.0263157894736842	0.666666666666667
"Plecoptera"	43	TRUE	"wdadn"	1.2	64	13	38	1	9	6	0.0263157894736842	0.666666666666667
"Plecoptera"	44	TRUE	"wdadn"	1.3	64	10	38	1	9	6	0.0263157894736842	0.666666666666667
"Plecoptera"	45	TRUE	"wdadn"	1.5	64	9	38	1	9	6	0.0263157894736842	0.666666666666667
"Plecoptera"	46	TRUE	"wdadn"	1.7	64	9	38	1	9	6	0.0263157894736842	0.666666666666667
"Psocodea"	39	TRUE	"dadn"	1.8	131	11	67	0	15	13	0	0.866666666666667
"Psocodea"	40	TRUE	"dadn"	2.1	131	9	67	0	15	13	0	0.866666666666667
"Psocodea"	41	TRUE	"dadn"	2.4	131	9	67	0	15	13	0	0.866666666666667
"Psocodea"	42	TRUE	"dadn"	2.7	131	8	67	0	15	13	0	0.866666666666667
"Psocodea"	43	TRUE	"wdadn"	1.2	131	9	67	0	15	14	0	0.933333333333333
"Psocodea"	44	TRUE	"wdadn"	1.3	131	7	67	0	15	14	0	0.933333333333333
"Psocodea"	45	TRUE	"wdadn"	1.5	131	6	67	0	15	14	0	0.933333333333333
"Psocodea"	46	TRUE	"wdadn"	1.7	131	5	67	0	15	15	0	1
"Symphypleona"	39	TRUE	"dadn"	1.8	239	47	70	1	24	20	0.0142857142857143	0.833333333333333
"Symphypleona"	40	TRUE	"dadn"	2.1	239	42	70	1	24	21	0.0142857142857143	0.875
"Symphypleona"	41	TRUE	"dadn"	2.4	239	38	70	1	24	21	0.0142857142857143	0.875
"Symphypleona"	42	TRUE	"dadn"	2.7	239	38	70	1	24	21	0.0142857142857143	0.875
"Symphypleona"	43	TRUE	"wdadn"	1.2	239	46	70	1	24	21	0.0142857142857143	0.875
"Symphypleona"	44	TRUE	"wdadn"	1.3	239	44	70	1	24	21	0.0142857142857143	0.875
"Symphypleona"	45	TRUE	"wdadn"	1.5	239	39	70	1	24	22	0.0142857142857143	0.916666666666667
"Symphypleona"	46	TRUE	"wdadn"	1.7	239	38	70	1	24	22	0.0142857142857143	0.916666666666667
"Trichoptera"	39	TRUE	"dadn"	1.8	470	15	157	2	5	3	0.0127388535031847	0.6
"Trichoptera"	40	TRUE	"dadn"	2.1	470	15	157	2	5	3	0.0127388535031847	0.6
"Trichoptera"	41	TRUE	"dadn"	2.4	470	12	157	2	5	3	0.0127388535031847	0.6
"Trichoptera"	42	TRUE	"dadn"	2.7	470	11	157	2	5	4	0.0127388535031847	0.8
"Trichoptera"	43	TRUE	"wdadn"	1.2	470	17	157	2	5	3	0.0127388535031847	0.6
"Trichoptera"	44	TRUE	"wdadn"	1.3	470	17	157	2	5	3	0.0127388535031847	0.6
"Trichoptera"	45	TRUE	"wdadn"	1.5	470	16	157	2	5	3	0.0127388535031847	0.6
"Trichoptera"	46	TRUE	"wdadn"	1.7	470	15	157	2	5	4	0.0127388535031847	0.8
"Mecoptera"	39	TRUE	"dadn"	1.8	10	2	5	0	0	0	0	NA
"Mecoptera"	40	TRUE	"dadn"	2.1	10	1	5	0	0	0	0	NA
"Mecoptera"	41	TRUE	"dadn"	2.4	10	1	5	0	0	0	0	NA
"Mecoptera"	42	TRUE	"dadn"	2.7	10	1	5	0	0	0	0	NA
"Mecoptera"	43	TRUE	"wdadn"	1.2	10	2	5	0	0	0	0	NA
"Mecoptera"	44	TRUE	"wdadn"	1.3	10	2	5	0	0	0	0	NA
"Mecoptera"	45	TRUE	"wdadn"	1.5	10	1	5	0	0	0	0	NA
"Mecoptera"	46	TRUE	"wdadn"	1.7	10	1	5	0	0	0	0	NA
"Raphidioptera"	39	TRUE	"dadn"	1.8	5	0	3	0	0	0	0	NA
"Raphidioptera"	40	TRUE	"dadn"	2.1	5	0	3	0	0	0	0	NA
"Raphidioptera"	41	TRUE	"dadn"	2.4	5	0	3	0	0	0	0	NA
"Raphidioptera"	42	TRUE	"dadn"	2.7	5	0	3	0	0	0	0	NA
"Raphidioptera"	43	TRUE	"wdadn"	1.2	5	0	3	0	0	0	0	NA
"Raphidioptera"	44	TRUE	"wdadn"	1.3	5	0	3	0	0	0	0	NA
"Raphidioptera"	45	TRUE	"wdadn"	1.5	5	0	3	0	0	0	0	NA
"Raphidioptera"	46	TRUE	"wdadn"	1.7	5	0	3	0	0	0	0	NA
"Thysanoptera"	39	TRUE	"dadn"	1.8	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	40	TRUE	"dadn"	2.1	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	41	TRUE	"dadn"	2.4	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	42	TRUE	"dadn"	2.7	80	0	57	0	3	3	0	1
"Thysanoptera"	43	TRUE	"wdadn"	1.2	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	44	TRUE	"wdadn"	1.3	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	45	TRUE	"wdadn"	1.5	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	46	TRUE	"wdadn"	1.7	80	0	57	0	3	3	0	1
"Psocoptera"	39	TRUE	"dadn"	1.8	26	1	0	0	0	0	NA	NA
"Psocoptera"	40	TRUE	"dadn"	2.1	26	1	0	0	0	0	NA	NA
"Psocoptera"	41	TRUE	"dadn"	2.4	26	0	0	0	0	0	NA	NA
"Psocoptera"	42	TRUE	"dadn"	2.7	26	0	0	0	0	0	NA	NA
"Psocoptera"	43	TRUE	"wdadn"	1.2	26	0	0	0	0	0	NA	NA
"Psocoptera"	44	TRUE	"wdadn"	1.3	26	0	0	0	0	0	NA	NA
"Psocoptera"	45	TRUE	"wdadn"	1.5	26	0	0	0	0	0	NA	NA
"Psocoptera"	46	TRUE	"wdadn"	1.7	26	0	0	0	0	0	NA	NA
"Neuroptera"	39	TRUE	"dadn"	1.8	159	11	58	1	4	1	0.0172413793103448	0.25
"Neuroptera"	40	TRUE	"dadn"	2.1	159	8	58	0	4	1	0	0.25
"Neuroptera"	41	TRUE	"dadn"	2.4	159	7	58	0	4	1	0	0.25
"Neuroptera"	42	TRUE	"dadn"	2.7	159	6	58	0	4	1	0	0.25
"Neuroptera"	43	TRUE	"wdadn"	1.2	159	9	58	1	4	1	0.0172413793103448	0.25
"Neuroptera"	44	TRUE	"wdadn"	1.3	159	8	58	0	4	1	0	0.25
"Neuroptera"	45	TRUE	"wdadn"	1.5	159	8	58	0	4	1	0	0.25
"Neuroptera"	46	TRUE	"wdadn"	1.7	159	6	58	0	4	1	0	0.25
"Ephemeroptera"	39	TRUE	"dadn"	1.8	51	2	39	0	2	0	0	0
"Ephemeroptera"	40	TRUE	"dadn"	2.1	51	2	39	0	2	0	0	0
"Ephemeroptera"	41	TRUE	"dadn"	2.4	51	1	39	0	2	1	0	0.5
"Ephemeroptera"	42	TRUE	"dadn"	2.7	51	1	39	0	2	1	0	0.5
"Ephemeroptera"	43	TRUE	"wdadn"	1.2	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	44	TRUE	"wdadn"	1.3	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	45	TRUE	"wdadn"	1.5	51	2	39	1	2	1	0.0256410256410256	0.5
"Ephemeroptera"	46	TRUE	"wdadn"	1.7	51	1	39	0	2	1	0	0.5
"Odonata"	39	TRUE	"dadn"	1.8	136	9	20	0	3	3	0	1
"Odonata"	40	TRUE	"dadn"	2.1	136	8	20	0	3	3	0	1
"Odonata"	41	TRUE	"dadn"	2.4	136	7	20	0	3	3	0	1
"Odonata"	42	TRUE	"dadn"	2.7	136	6	20	0	3	3	0	1
"Odonata"	43	TRUE	"wdadn"	1.2	136	9	20	1	3	3	0.05	1
"Odonata"	44	TRUE	"wdadn"	1.3	136	8	20	1	3	3	0.05	1
"Odonata"	45	TRUE	"wdadn"	1.5	136	8	20	0	3	3	0	1
"Odonata"	46	TRUE	"wdadn"	1.7	136	7	20	0	3	3	0	1
"Megaloptera"	39	TRUE	"dadn"	1.8	4	2	1	0	1	0	0	0
"Megaloptera"	40	TRUE	"dadn"	2.1	4	2	1	0	1	0	0	0
"Megaloptera"	41	TRUE	"dadn"	2.4	4	2	1	0	1	0	0	0
"Megaloptera"	42	TRUE	"dadn"	2.7	4	2	1	0	1	0	0	0
"Megaloptera"	43	TRUE	"wdadn"	1.2	4	2	1	0	1	0	0	0
"Megaloptera"	44	TRUE	"wdadn"	1.3	4	2	1	0	1	0	0	0
"Megaloptera"	45	TRUE	"wdadn"	1.5	4	2	1	0	1	0	0	0
"Megaloptera"	46	TRUE	"wdadn"	1.7	4	2	1	0	1	0	0	0
"Poduromorpha"	39	TRUE	"dadn"	1.8	432	110	86	1	40	35	0.0116279069767442	0.875
"Poduromorpha"	40	TRUE	"dadn"	2.1	432	99	86	1	40	35	0.0116279069767442	0.875
"Poduromorpha"	41	TRUE	"dadn"	2.4	432	85	86	1	40	36	0.0116279069767442	0.9
"Poduromorpha"	42	TRUE	"dadn"	2.7	432	78	86	1	40	36	0.0116279069767442	0.9
"Poduromorpha"	43	TRUE	"wdadn"	1.2	432	116	86	1	40	34	0.0116279069767442	0.85
"Poduromorpha"	44	TRUE	"wdadn"	1.3	432	108	86	1	40	34	0.0116279069767442	0.85
"Poduromorpha"	45	TRUE	"wdadn"	1.5	432	94	86	1	40	35	0.0116279069767442	0.875
"Poduromorpha"	46	TRUE	"wdadn"	1.7	432	84	86	1	40	36	0.0116279069767442	0.9
"Strepsiptera"	39	TRUE	"dadn"	1.8	8	0	7	0	0	0	0	NA
"Strepsiptera"	40	TRUE	"dadn"	2.1	8	0	7	0	0	0	0	NA
"Strepsiptera"	41	TRUE	"dadn"	2.4	8	0	7	0	0	0	0	NA
"Strepsiptera"	42	TRUE	"dadn"	2.7	8	0	7	0	0	0	0	NA
"Strepsiptera"	43	TRUE	"wdadn"	1.2	8	0	7	0	0	0	0	NA
"Strepsiptera"	44	TRUE	"wdadn"	1.3	8	0	7	0	0	0	0	NA
"Strepsiptera"	45	TRUE	"wdadn"	1.5	8	0	7	0	0	0	0	NA
"Strepsiptera"	46	TRUE	"wdadn"	1.7	8	0	7	0	0	0	0	NA
"Siphonaptera"	39	TRUE	"dadn"	1.8	13	0	3	0	0	0	0	NA
"Siphonaptera"	40	TRUE	"dadn"	2.1	13	0	3	0	0	0	0	NA
"Siphonaptera"	41	TRUE	"dadn"	2.4	13	0	3	0	0	0	0	NA
"Siphonaptera"	42	TRUE	"dadn"	2.7	13	0	3	0	0	0	0	NA
"Siphonaptera"	43	TRUE	"wdadn"	1.2	13	0	3	0	0	0	0	NA
"Siphonaptera"	44	TRUE	"wdadn"	1.3	13	0	3	0	0	0	0	NA
"Siphonaptera"	45	TRUE	"wdadn"	1.5	13	0	3	0	0	0	0	NA
"Siphonaptera"	46	TRUE	"wdadn"	1.7	13	0	3	0	0	0	0	NA
"Zygentoma"	39	TRUE	"dadn"	1.8	14	4	1	0	1	1	0	1
"Zygentoma"	40	TRUE	"dadn"	2.1	14	2	1	0	1	1	0	1
"Zygentoma"	41	TRUE	"dadn"	2.4	14	3	1	0	1	1	0	1
"Zygentoma"	42	TRUE	"dadn"	2.7	14	3	1	0	1	1	0	1
"Zygentoma"	43	TRUE	"wdadn"	1.2	14	3	1	0	1	1	0	1
"Zygentoma"	44	TRUE	"wdadn"	1.3	14	3	1	0	1	1	0	1
"Zygentoma"	45	TRUE	"wdadn"	1.5	14	3	1	0	1	1	0	1
"Zygentoma"	46	TRUE	"wdadn"	1.7	14	2	1	0	1	1	0	1
"Neelipleona"	39	TRUE	"dadn"	1.8	22	0	9	0	7	7	0	1
"Neelipleona"	40	TRUE	"dadn"	2.1	22	0	9	0	7	7	0	1
"Neelipleona"	41	TRUE	"dadn"	2.4	22	0	9	0	7	7	0	1
"Neelipleona"	42	TRUE	"dadn"	2.7	22	0	9	0	7	7	0	1
"Neelipleona"	43	TRUE	"wdadn"	1.2	22	0	9	0	7	7	0	1
"Neelipleona"	44	TRUE	"wdadn"	1.3	22	0	9	0	7	7	0	1
"Neelipleona"	45	TRUE	"wdadn"	1.5	22	0	9	0	7	7	0	1
"Neelipleona"	46	TRUE	"wdadn"	1.7	22	0	9	0	7	7	0	1
"Zoraptera"	39	TRUE	"dadn"	1.8	7	0	0	0	0	0	NA	NA
"Zoraptera"	40	TRUE	"dadn"	2.1	7	0	0	0	0	0	NA	NA
"Zoraptera"	41	TRUE	"dadn"	2.4	7	0	0	0	0	0	NA	NA
"Zoraptera"	42	TRUE	"dadn"	2.7	7	0	0	0	0	0	NA	NA
"Zoraptera"	43	TRUE	"wdadn"	1.2	7	0	0	0	0	0	NA	NA
"Zoraptera"	44	TRUE	"wdadn"	1.3	7	0	0	0	0	0	NA	NA
"Zoraptera"	45	TRUE	"wdadn"	1.5	7	0	0	0	0	0	NA	NA
"Zoraptera"	46	TRUE	"wdadn"	1.7	7	0	0	0	0	0	NA	NA
"Phthiraptera"	39	TRUE	"dadn"	1.8	3	0	0	0	0	0	NA	NA
"Phthiraptera"	40	TRUE	"dadn"	2.1	3	0	0	0	0	0	NA	NA
"Phthiraptera"	41	TRUE	"dadn"	2.4	3	0	0	0	0	0	NA	NA
"Phthiraptera"	42	TRUE	"dadn"	2.7	3	0	0	0	0	0	NA	NA
"Phthiraptera"	43	TRUE	"wdadn"	1.2	3	0	0	0	0	0	NA	NA
"Phthiraptera"	44	TRUE	"wdadn"	1.3	3	0	0	0	0	0	NA	NA
"Phthiraptera"	45	TRUE	"wdadn"	1.5	3	0	0	0	0	0	NA	NA
"Phthiraptera"	46	TRUE	"wdadn"	1.7	3	0	0	0	0	0	NA	NA
"Diplura"	39	TRUE	"dadn"	1.8	12	1	3	0	2	2	0	1
"Diplura"	40	TRUE	"dadn"	2.1	12	1	3	0	2	2	0	1
"Diplura"	41	TRUE	"dadn"	2.4	12	1	3	0	2	2	0	1
"Diplura"	42	TRUE	"dadn"	2.7	12	0	3	0	2	2	0	1
"Diplura"	43	TRUE	"wdadn"	1.2	12	2	3	0	2	2	0	1
"Diplura"	44	TRUE	"wdadn"	1.3	12	1	3	0	2	2	0	1
"Diplura"	45	TRUE	"wdadn"	1.5	12	1	3	0	2	2	0	1
"Diplura"	46	TRUE	"wdadn"	1.7	12	1	3	0	2	2	0	1
"Archaeognatha"	39	TRUE	"dadn"	1.8	11	7	0	0	0	0	NA	NA
"Archaeognatha"	40	TRUE	"dadn"	2.1	11	7	0	0	0	0	NA	NA
"Archaeognatha"	41	TRUE	"dadn"	2.4	11	7	0	0	0	0	NA	NA
"Archaeognatha"	42	TRUE	"dadn"	2.7	11	7	0	0	0	0	NA	NA
"Archaeognatha"	43	TRUE	"wdadn"	1.2	11	8	0	0	0	0	NA	NA
"Archaeognatha"	44	TRUE	"wdadn"	1.3	11	7	0	0	0	0	NA	NA
"Archaeognatha"	45	TRUE	"wdadn"	1.5	11	6	0	0	0	0	NA	NA
"Archaeognatha"	46	TRUE	"wdadn"	1.7	11	6	0	0	0	0	NA	NA
"Phasmatodea"	39	TRUE	"dadn"	1.8	1	0	0	0	0	0	NA	NA
"Phasmatodea"	40	TRUE	"dadn"	2.1	1	0	0	0	0	0	NA	NA
"Phasmatodea"	41	TRUE	"dadn"	2.4	1	0	0	0	0	0	NA	NA
"Phasmatodea"	42	TRUE	"dadn"	2.7	1	0	0	0	0	0	NA	NA
"Phasmatodea"	43	TRUE	"wdadn"	1.2	1	0	0	0	0	0	NA	NA
"Phasmatodea"	44	TRUE	"wdadn"	1.3	1	0	0	0	0	0	NA	NA
"Phasmatodea"	45	TRUE	"wdadn"	1.5	1	0	0	0	0	0	NA	NA
"Phasmatodea"	46	TRUE	"wdadn"	1.7	1	0	0	0	0	0	NA	NA
"Mantodea"	39	TRUE	"dadn"	1.8	1	0	0	0	0	0	NA	NA
"Mantodea"	40	TRUE	"dadn"	2.1	1	0	0	0	0	0	NA	NA
"Mantodea"	41	TRUE	"dadn"	2.4	1	0	0	0	0	0	NA	NA
"Mantodea"	42	TRUE	"dadn"	2.7	1	0	0	0	0	0	NA	NA
"Mantodea"	43	TRUE	"wdadn"	1.2	1	0	0	0	0	0	NA	NA
"Mantodea"	44	TRUE	"wdadn"	1.3	1	0	0	0	0	0	NA	NA
"Mantodea"	45	TRUE	"wdadn"	1.5	1	0	0	0	0	0	NA	NA
"Mantodea"	46	TRUE	"wdadn"	1.7	1	0	0	0	0	0	NA	NA
"Hexapoda"	39	TRUE	"dadn"	1.8	47045	8354	18770	280	2091	1127	0.014917421417155	0.538976566236251
"Hexapoda"	40	TRUE	"dadn"	2.1	47045	7593	18770	240	2091	1231	0.0127863612147043	0.588713534194165
"Hexapoda"	41	TRUE	"dadn"	2.4	47045	6892	18770	188	2091	1313	0.0100159829515184	0.627929220468675
"Hexapoda"	42	TRUE	"dadn"	2.7	47045	6305	18770	161	2091	1378	0.00857751731486414	0.659014825442372
"Hexapoda"	43	TRUE	"wdadn"	1.2	47045	7849	18770	223	2091	1223	0.0118806606286628	0.584887613582018
"Hexapoda"	44	TRUE	"wdadn"	1.3	47045	7507	18770	203	2091	1257	0.0108151305274374	0.601147776183644
"Hexapoda"	45	TRUE	"wdadn"	1.5	47045	6877	18770	171	2091	1324	0.00911028236547682	0.633189861310378
"Hexapoda"	46	TRUE	"wdadn"	1.7	47045	6313	18770	140	2091	1397	0.00745871070857752	0.668101386896222
