"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	1	84	0.9	"max"	1	FALSE	-1	-1	8073	345	991	271	0.0427350427350427	0.273461150353179
"Diptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	8073	414	991	241	0.0512820512820513	0.243188698284561
"Blattodea"	1	84	0.9	"max"	1	FALSE	-1	-1	5	2	2	0	0.4	0
"Blattodea"	2	84	0.9	"mean"	1	FALSE	-1	-1	5	2	2	0	0.4	0
"Hymenoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	5680	175	491	220	0.0308098591549296	0.44806517311609
"Hymenoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	5680	192	491	199	0.0338028169014084	0.405295315682281
"Orthoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	27	5	13	2	0.185185185185185	0.153846153846154
"Orthoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	27	6	13	2	0.222222222222222	0.153846153846154
"Coleoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	1698	53	233	34	0.0312131919905771	0.145922746781116
"Coleoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	1698	58	233	28	0.0341578327444052	0.120171673819742
"Entomobryomorpha"	1	84	0.9	"max"	1	FALSE	-1	-1	193	30	82	18	0.155440414507772	0.219512195121951
"Entomobryomorpha"	2	84	0.9	"mean"	1	FALSE	-1	-1	193	36	82	16	0.186528497409326	0.195121951219512
"Hemiptera"	1	84	0.9	"max"	1	FALSE	-1	-1	878	38	116	17	0.0432801822323462	0.146551724137931
"Hemiptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	878	41	116	15	0.0466970387243736	0.129310344827586
"Lepidoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	1587	42	47	11	0.0264650283553875	0.234042553191489
"Lepidoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	1587	49	47	10	0.0308758664146188	0.212765957446809
"Dermaptera"	1	84	0.9	"max"	1	FALSE	-1	-1	5	1	0	0	0.2	NA
"Dermaptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	5	1	0	0	0.2	NA
"Plecoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	38	7	9	3	0.184210526315789	0.333333333333333
"Plecoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	38	7	9	2	0.184210526315789	0.222222222222222
"Psocodea"	1	84	0.9	"max"	1	FALSE	-1	-1	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	2	84	0.9	"mean"	1	FALSE	-1	-1	67	2	15	7	0.0298507462686567	0.466666666666667
"Symphypleona"	1	84	0.9	"max"	1	FALSE	-1	-1	70	6	24	8	0.0857142857142857	0.333333333333333
"Symphypleona"	2	84	0.9	"mean"	1	FALSE	-1	-1	70	8	24	6	0.114285714285714	0.25
"Trichoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	157	2	5	0	0.0127388535031847	0
"Trichoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	157	3	5	0	0.0191082802547771	0
"Mecoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	5	1	0	0	0.2	NA
"Mecoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	5	1	0	0	0.2	NA
"Raphidioptera"	1	84	0.9	"max"	1	FALSE	-1	-1	3	0	0	0	0	NA
"Raphidioptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	3	0	0	0	0	NA
"Thysanoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	57	0	3	2	0	0.666666666666667
"Psocoptera"	1	84	0.9	"max"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Psocoptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Neuroptera"	1	84	0.9	"max"	1	FALSE	-1	-1	58	3	4	1	0.0517241379310345	0.25
"Neuroptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	58	3	4	0	0.0517241379310345	0
"Ephemeroptera"	1	84	0.9	"max"	1	FALSE	-1	-1	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	39	1	2	0	0.0256410256410256	0
"Odonata"	1	84	0.9	"max"	1	FALSE	-1	-1	20	1	3	0	0.05	0
"Odonata"	2	84	0.9	"mean"	1	FALSE	-1	-1	20	1	3	0	0.05	0
"Megaloptera"	1	84	0.9	"max"	1	FALSE	-1	-1	1	0	1	0	0	0
"Megaloptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	1	0	1	0	0	0
"Poduromorpha"	1	84	0.9	"max"	1	FALSE	-1	-1	86	7	40	14	0.0813953488372093	0.35
"Poduromorpha"	2	84	0.9	"mean"	1	FALSE	-1	-1	86	9	40	14	0.104651162790698	0.35
"Strepsiptera"	1	84	0.9	"max"	1	FALSE	-1	-1	7	0	0	0	0	NA
"Strepsiptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	7	0	0	0	0	NA
"Siphonaptera"	1	84	0.9	"max"	1	FALSE	-1	-1	3	0	0	0	0	NA
"Siphonaptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	3	0	0	0	0	NA
"Zygentoma"	1	84	0.9	"max"	1	FALSE	-1	-1	1	0	1	0	0	0
"Zygentoma"	2	84	0.9	"mean"	1	FALSE	-1	-1	1	0	1	0	0	0
"Neelipleona"	1	84	0.9	"max"	1	FALSE	-1	-1	9	0	7	3	0	0.428571428571429
"Neelipleona"	2	84	0.9	"mean"	1	FALSE	-1	-1	9	0	7	3	0	0.428571428571429
"Zoraptera"	1	84	0.9	"max"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Zoraptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Phthiraptera"	1	84	0.9	"max"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Phthiraptera"	2	84	0.9	"mean"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Diplura"	1	84	0.9	"max"	1	FALSE	-1	-1	3	0	2	0	0	0
"Diplura"	2	84	0.9	"mean"	1	FALSE	-1	-1	3	0	2	0	0	0
"Archaeognatha"	1	84	0.9	"max"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Archaeognatha"	2	84	0.9	"mean"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Phasmatodea"	1	84	0.9	"max"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Phasmatodea"	2	84	0.9	"mean"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Mantodea"	1	84	0.9	"max"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Mantodea"	2	84	0.9	"mean"	1	FALSE	-1	-1	0	0	0	0	NA	NA
"Hexapoda"	1	84	0.9	"max"	1	FALSE	-1	-1	18770	721	2091	611	0.0384123601491742	0.29220468675275
"Hexapoda"	2	84	0.9	"mean"	1	FALSE	-1	-1	18770	834	2091	545	0.0444326052210975	0.260640841702535
