"taxon"	"run"	"method"	"min_match"	"minimum_relative_cooccurence"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"aligner"	"max_target_seqs"	"minimum_ratio"	"minimum_ratio_type"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Diplura"	1	"LULU"	84	0.95	0.95	"max"	1	"vsearch"	10	1	"min"	12	9	3	0	2	9	0	0	0	0	0	0	5	2	12	1	1	NA	1	0	0.333333333333333
"Hexapoda"	1	"LULU"	84	0.95	0.95	"max"	1	"vsearch"	10	1	"min"	41511	9969	18162	663	1546	2742	469	764	0.0365047902213413	0.303363518758085	5058	50	2222	1007	2400	1101	699	0.00988533017002768	0.634877384196185	0.0307062876830319	0.441254250094447
"Diptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	17459	4227	7824	295	708	1120	196	248	0.0377044989775051	0.27683615819209	1928	17	363	162	314	104	48	0.00881742738589212	0.461538461538462	0.0319934372436423	0.300492610837438
"Hymenoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	14315	2808	5452	150	338	445	157	188	0.0275128393250183	0.464497041420118	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0243980738362761	0.464705882352941
"Coleoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	2663	649	1675	45	184	401	33	154	0.026865671641791	0.179347826086957	738	6	620	253	404	70	42	0.00813008130081301	0.6	0.0211355159552424	0.295275590551181
"Psocodea"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	117	23	65	2	10	14	7	7	0.0307692307692308	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0186915887850467	0.764705882352941
"Lepidoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	1755	196	1534	43	36	61	6	14	0.0280312907431551	0.166666666666667	1203	21	670	333	414	69	62	0.0174563591022444	0.898550724637681	0.0233832663500183	0.647619047619048
"Strepsiptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Mecoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Trichoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	389	24	156	3	5	6	0	0	0.0192307692307692	0	96	1	113	59	71	10	10	0.0104166666666667	1	0.0158730158730159	0.666666666666667
"Thysanoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	165	3	56	0	1	1	1	1	0	1	0	0	0	0	0	0	0	NA	NA	0	1
"Symphypleona"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	212	79	66	2	19	38	7	11	0.0303030303030303	0.368421052631579	0	0	6	2	11	7	4	NA	0.571428571428571	0.0303030303030303	0.423076923076923
"Odonata"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	34	11	20	1	3	3	0	0	0.05	0	2	0	57	15	28	10	5	0	0.5	0.0454545454545455	0.384615384615385
"Entomobryomorpha"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	787	452	187	23	72	303	14	81	0.122994652406417	0.194444444444444	0	0	5	3	28	14	7	NA	0.5	0.122994652406417	0.244186046511628
"Hemiptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	1869	441	844	31	100	131	17	17	0.0367298578199052	0.17	204	0	213	86	138	30	16	0	0.533333333333333	0.0295801526717557	0.253846153846154
"Plecoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	61	23	38	6	9	15	3	3	0.157894736842105	0.333333333333333	20	1	16	14	22	2	1	0.05	0.5	0.120689655172414	0.363636363636364
"Ephemeroptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	46	2	39	1	1	1	0	0	0.0256410256410256	0	14	0	28	12	18	3	3	0	1	0.0188679245283019	0.75
"Poduromorpha"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	373	176	83	3	36	115	14	23	0.036144578313253	0.388888888888889	0	0	1	1	1	0	0	NA	NA	0.036144578313253	0.388888888888889
"Megaloptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	3	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0
"Neuroptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	99	15	58	4	1	1	1	1	0.0689655172413793	1	28	0	7	2	4	2	1	0	0.5	0.0465116279069767	0.666666666666667
"Siphonaptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	6	1	3	0	0	0	0	0	0	NA	1	0	3	1	1	0	0	0	NA	0	NA
"Blattodea"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	36	31	5	2	2	18	0	0	0.4	0	0	0	0	0	0	0	0	NA	NA	0.4	0
"Zygentoma"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	6	5	1	0	1	5	0	0	0	0	0	0	3	1	6	0	0	NA	NA	0	0
"Orthoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	1019	352	26	4	11	45	3	12	0.153846153846154	0.272727272727273	0	0	39	20	817	757	518	NA	0.684280052840158	0.153846153846154	0.678385416666667
"Dermaptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	9	2	5	1	0	0	0	0	0.2	NA	0	0	4	3	6	1	0	NA	0	0.2	NA
"Psocoptera"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	32	2	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA
"Archaeognatha"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	8	7	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA
"Neelipleona"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	19	6	9	0	6	9	3	4	0	0.5	0	0	2	1	15	12	8	NA	0.666666666666667	0	0.611111111111111
"Diplura"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	12	9	3	0	2	9	0	0	0	0	0	0	5	2	12	1	1	NA	1	0	0.333333333333333
"Hexapoda"	3	"LULU"	84	0.95	0.95	"max"	1	"blastn"	10	1	"min"	41511	9549	18162	617	1546	2742	462	764	0.0339720295121683	0.298835705045278	5058	48	2222	1007	2400	1101	733	0.00948991696322657	0.665758401453224	0.0286391042204996	0.45145447676615
