"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Coleoptera"	4	16	"False"	"wdadn"	4	2663	613	1675	32	184	401	41	167	0.0191044776119403	0.222826086956522	738	3	620	253	404	70	40	0.0040650406504065	0.571428571428571	0.014504765851637	0.318897637795276
"Coleoptera"	5	17	"False"	"wdadn"	4	2663	616	1675	33	184	401	43	166	0.0197014925373134	0.233695652173913	738	3	620	253	404	70	42	0.0040650406504065	0.6	0.0149191877331123	0.334645669291339
"Coleoptera"	6	18	"False"	"wdadn"	4	2663	614	1675	33	184	401	41	167	0.0197014925373134	0.222826086956522	738	3	620	253	404	70	40	0.0040650406504065	0.571428571428571	0.0149191877331123	0.318897637795276
"Coleoptera"	7	19	"False"	"wdadn"	4	2663	653	1675	35	184	401	28	148	0.0208955223880597	0.152173913043478	738	3	620	253	404	70	40	0.0040650406504065	0.571428571428571	0.015748031496063	0.267716535433071
"Coleoptera"	8	20	"False"	"wdadn"	4	2663	652	1675	35	184	401	27	149	0.0208955223880597	0.146739130434783	738	3	620	253	404	70	38	0.0040650406504065	0.542857142857143	0.015748031496063	0.255905511811024
"Coleoptera"	9	21	"False"	"wdadn"	4	2663	635	1675	31	184	401	33	153	0.0185074626865672	0.179347826086957	738	2	620	253	404	70	41	0.002710027100271	0.585714285714286	0.0136759220886863	0.291338582677165
"Coleoptera"	10	22	"False"	"wdadn"	4	2663	630	1675	31	184	401	34	156	0.0185074626865672	0.184782608695652	738	2	620	253	404	70	40	0.002710027100271	0.571428571428571	0.0136759220886863	0.291338582677165
"Coleoptera"	11	23	"False"	"wdadn"	4	2663	646	1675	34	184	401	32	152	0.0202985074626866	0.173913043478261	738	3	620	253	404	70	40	0.0040650406504065	0.571428571428571	0.0153336096145876	0.283464566929134
"Coleoptera"	12	24	"False"	"wdadn"	4	2663	645	1675	34	184	401	31	153	0.0202985074626866	0.168478260869565	738	3	620	253	404	70	38	0.0040650406504065	0.542857142857143	0.0153336096145876	0.271653543307087
"Psocodea"	1	13	"False"	"wdadn"	4	117	24	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	2	14	"False"	"wdadn"	4	117	24	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	3	15	"False"	"wdadn"	4	117	23	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	4	16	"False"	"wdadn"	4	117	23	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	5	17	"False"	"wdadn"	4	117	23	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	6	18	"False"	"wdadn"	4	117	23	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	7	19	"False"	"wdadn"	4	117	26	65	2	10	14	7	7	0.0307692307692308	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0186915887850467	0.764705882352941
"Psocodea"	8	20	"False"	"wdadn"	4	117	26	65	2	10	14	7	7	0.0307692307692308	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0186915887850467	0.764705882352941
"Psocodea"	9	21	"False"	"wdadn"	4	117	24	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	10	22	"False"	"wdadn"	4	117	24	65	1	10	14	7	7	0.0153846153846154	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0093457943925233	0.764705882352941
"Psocodea"	11	23	"False"	"wdadn"	4	117	26	65	2	10	14	7	7	0.0307692307692308	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0186915887850467	0.764705882352941
"Psocodea"	12	24	"False"	"wdadn"	4	117	26	65	2	10	14	7	7	0.0307692307692308	0.7	42	0	35	21	69	7	6	0	0.857142857142857	0.0186915887850467	0.764705882352941
"Lepidoptera"	1	13	"False"	"wdadn"	4	1755	166	1534	16	36	61	10	16	0.0104302477183833	0.277777777777778	1203	6	670	333	414	69	62	0.0049875311720698	0.898550724637681	0.0080379978078187	0.685714285714286
"Lepidoptera"	2	14	"False"	"wdadn"	4	1755	170	1534	20	36	61	9	15	0.0130378096479791	0.25	1203	8	670	333	414	69	63	0.0066500415627597	0.91304347826087	0.010230179028133	0.685714285714286
"Lepidoptera"	3	15	"False"	"wdadn"	4	1755	170	1534	16	36	61	7	13	0.0104302477183833	0.194444444444444	1203	5	670	333	414	69	62	0.0041562759767248	0.898550724637681	0.0076726342710997	0.657142857142857
"Lepidoptera"	4	16	"False"	"wdadn"	4	1755	174	1534	19	36	61	7	13	0.0123859191655802	0.194444444444444	1203	7	670	333	414	69	62	0.0058187863674148	0.898550724637681	0.0094994519546949	0.657142857142857
"Lepidoptera"	5	17	"False"	"wdadn"	4	1755	170	1534	16	36	61	7	13	0.0104302477183833	0.194444444444444	1203	5	670	333	414	69	62	0.0041562759767248	0.898550724637681	0.0076726342710997	0.657142857142857
"Lepidoptera"	6	18	"False"	"wdadn"	4	1755	174	1534	19	36	61	7	13	0.0123859191655802	0.194444444444444	1203	7	670	333	414	69	62	0.0058187863674148	0.898550724637681	0.0094994519546949	0.657142857142857
"Lepidoptera"	7	19	"False"	"wdadn"	4	1755	173	1534	17	36	61	7	13	0.0110821382007823	0.194444444444444	1203	5	670	333	414	69	62	0.0041562759767248	0.898550724637681	0.0080379978078187	0.657142857142857
"Lepidoptera"	8	20	"False"	"wdadn"	4	1755	175	1534	19	36	61	7	13	0.0123859191655802	0.194444444444444	1203	7	670	333	414	69	62	0.0058187863674148	0.898550724637681	0.0094994519546949	0.657142857142857
"Lepidoptera"	9	21	"False"	"wdadn"	4	1755	166	1534	16	36	61	10	16	0.0104302477183833	0.277777777777778	1203	6	670	333	414	69	62	0.0049875311720698	0.898550724637681	0.0080379978078187	0.685714285714286
"Lepidoptera"	10	22	"False"	"wdadn"	4	1755	170	1534	20	36	61	9	15	0.0130378096479791	0.25	1203	8	670	333	414	69	63	0.0066500415627597	0.91304347826087	0.010230179028133	0.685714285714286
"Lepidoptera"	11	23	"False"	"wdadn"	4	1755	173	1534	17	36	61	7	13	0.0110821382007823	0.194444444444444	1203	5	670	333	414	69	62	0.0041562759767248	0.898550724637681	0.0080379978078187	0.657142857142857
"Lepidoptera"	12	24	"False"	"wdadn"	4	1755	175	1534	19	36	61	7	13	0.0123859191655802	0.194444444444444	1203	7	670	333	414	69	62	0.0058187863674148	0.898550724637681	0.0094994519546949	0.657142857142857
"Strepsiptera"	1	13	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	2	14	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	3	15	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	4	16	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	5	17	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	6	18	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	7	19	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	8	20	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	9	21	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	10	22	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	11	23	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Strepsiptera"	12	24	"False"	"wdadn"	4	9	0	7	0	0	0	0	0	0	NA	0	0	2	3	3	0	0	NA	NA	0	NA
"Mecoptera"	1	13	"False"	"wdadn"	4	8	2	5	0	0	0	0	0	0	NA	4	0	2	1	4	0	0	0	NA	0	NA
"Mecoptera"	2	14	"False"	"wdadn"	4	8	2	5	0	0	0	0	0	0	NA	4	0	2	1	4	0	0	0	NA	0	NA
