"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	1	9	TRUE	"wdadn"	1.1	19578	5332	8073	349	991	285	0.0432305214913911	0.287588294651867
"Diptera"	2	9	TRUE	"dadn"	1.8	19578	5359	8073	355	991	281	0.0439737396259135	0.283551967709384
"Diptera"	3	10	TRUE	"wdadn"	1.1	19578	5597	8073	399	991	248	0.0494240059457451	0.250252270433905
"Diptera"	4	10	TRUE	"dadn"	1.8	19578	5631	8073	403	991	246	0.0499194847020934	0.248234106962664
"Diptera"	5	27	TRUE	"wdadn"	1.1	19578	5240	8073	323	991	290	0.040009909575127	0.29263370332997
"Diptera"	6	27	TRUE	"dadn"	1.8	19578	5278	8073	330	991	286	0.0408769973987365	0.288597376387487
"Diptera"	7	28	TRUE	"wdadn"	1.1	19578	5277	8073	331	991	288	0.0410008670878236	0.290615539858729
"Diptera"	8	28	TRUE	"dadn"	1.8	19578	5312	8073	337	991	284	0.0417440852223461	0.286579212916246
"Diptera"	9	9	FALSE	"wdadn"	3	19578	5445	8073	363	991	301	0.0449646971386102	0.303733602421796
"Diptera"	10	10	FALSE	"wdadn"	3	19578	5873	8073	417	991	234	0.0516536603493125	0.236125126135217
"Diptera"	11	27	FALSE	"wdadn"	3	19578	5310	8073	331	991	308	0.0410008670878236	0.31079717457114
"Diptera"	12	28	FALSE	"wdadn"	3	19578	5359	8073	340	991	306	0.0421156942896073	0.308779011099899
"Blattodea"	1	9	TRUE	"wdadn"	1.1	49	45	5	2	2	0	0.4	0
"Blattodea"	2	9	TRUE	"dadn"	1.8	49	45	5	2	2	0	0.4	0
"Blattodea"	3	10	TRUE	"wdadn"	1.1	49	45	5	2	2	0	0.4	0
"Blattodea"	4	10	TRUE	"dadn"	1.8	49	45	5	2	2	0	0.4	0
