"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Lepidoptera"	41	84	0.9	"mean"	0.1	TRUE	1968	177	1587	15	47	20	0.00945179584120983	0.425531914893617
"Lepidoptera"	42	84	0.9	"mean"	0.05	TRUE	1968	170	1587	12	47	21	0.00756143667296786	0.446808510638298
"Lepidoptera"	43	90	0.95	"mean"	0.1	TRUE	1968	168	1587	11	47	20	0.00693131695022054	0.425531914893617
"Lepidoptera"	44	95	0.95	"mean"	0.1	TRUE	1968	94	1587	8	47	27	0.00504095778197858	0.574468085106383
"Dermaptera"	39	84	0.99	"mean"	0.1	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	40	84	0.95	"mean"	0.05	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	41	84	0.9	"mean"	0.1	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	42	84	0.9	"mean"	0.05	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	43	90	0.95	"mean"	0.1	TRUE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	44	95	0.95	"mean"	0.1	TRUE	9	0	5	0	0	0	0	NA
"Plecoptera"	39	84	0.99	"mean"	0.1	TRUE	64	20	38	3	9	4	0.0789473684210526	0.444444444444444
"Plecoptera"	40	84	0.95	"mean"	0.05	TRUE	64	21	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	41	84	0.9	"mean"	0.1	TRUE	64	21	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	42	84	0.9	"mean"	0.05	TRUE	64	21	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	43	90	0.95	"mean"	0.1	TRUE	64	18	38	3	9	4	0.0789473684210526	0.444444444444444
"Plecoptera"	44	95	0.95	"mean"	0.1	TRUE	64	5	38	1	9	8	0.0263157894736842	0.888888888888889
"Psocodea"	39	84	0.99	"mean"	0.1	TRUE	131	26	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	40	84	0.95	"mean"	0.05	TRUE	131	26	67	2	15	9	0.0298507462686567	0.6
"Psocodea"	41	84	0.9	"mean"	0.1	TRUE	131	27	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	42	84	0.9	"mean"	0.05	TRUE	131	26	67	2	15	9	0.0298507462686567	0.6
"Psocodea"	43	90	0.95	"mean"	0.1	TRUE	131	27	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	44	95	0.95	"mean"	0.1	TRUE	131	11	67	0	15	11	0	0.733333333333333
"Symphypleona"	39	84	0.99	"mean"	0.1	TRUE	239	80	70	3	24	14	0.0428571428571429	0.583333333333333
"Symphypleona"	40	84	0.95	"mean"	0.05	TRUE	239	81	70	4	24	14	0.0571428571428571	0.583333333333333
"Symphypleona"	41	84	0.9	"mean"	0.1	TRUE	239	87	70	4	24	14	0.0571428571428571	0.583333333333333
"Symphypleona"	42	84	0.9	"mean"	0.05	TRUE	239	84	70	4	24	14	0.0571428571428571	0.583333333333333
"Symphypleona"	43	90	0.95	"mean"	0.1	TRUE	239	76	70	3	24	16	0.0428571428571429	0.666666666666667
"Symphypleona"	44	95	0.95	"mean"	0.1	TRUE	239	26	70	1	24	20	0.0142857142857143	0.833333333333333
"Trichoptera"	39	84	0.99	"mean"	0.1	TRUE	470	32	157	2	5	0	0.0127388535031847	0
"Trichoptera"	40	84	0.95	"mean"	0.05	TRUE	470	31	157	2	5	1	0.0127388535031847	0.2
"Trichoptera"	41	84	0.9	"mean"	0.1	TRUE	470	32	157	2	5	0	0.0127388535031847	0
"Trichoptera"	42	84	0.9	"mean"	0.05	TRUE	470	31	157	2	5	1	0.0127388535031847	0.2
"Trichoptera"	43	90	0.95	"mean"	0.1	TRUE	470	31	157	2	5	0	0.0127388535031847	0
"Trichoptera"	44	95	0.95	"mean"	0.1	TRUE	470	11	157	0	5	3	0	0.6
"Mecoptera"	39	84	0.99	"mean"	0.1	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	40	84	0.95	"mean"	0.05	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	41	84	0.9	"mean"	0.1	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	42	84	0.9	"mean"	0.05	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	43	90	0.95	"mean"	0.1	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	44	95	0.95	"mean"	0.1	TRUE	10	1	5	0	0	0	0	NA
"Raphidioptera"	39	84	0.99	"mean"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	40	84	0.95	"mean"	0.05	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	41	84	0.9	"mean"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	42	84	0.9	"mean"	0.05	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	43	90	0.95	"mean"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	44	95	0.95	"mean"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Thysanoptera"	39	84	0.99	"mean"	0.1	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	40	84	0.95	"mean"	0.05	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	41	84	0.9	"mean"	0.1	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	42	84	0.9	"mean"	0.05	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	43	90	0.95	"mean"	0.1	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	44	95	0.95	"mean"	0.1	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Psocoptera"	39	84	0.99	"mean"	0.1	TRUE	26	0	0	0	0	0	NA	NA
"Psocoptera"	40	84	0.95	"mean"	0.05	TRUE	26	0	0	0	0	0	NA	NA
"Psocoptera"	41	84	0.9	"mean"	0.1	TRUE	26	0	0	0	0	0	NA	NA
"Psocoptera"	42	84	0.9	"mean"	0.05	TRUE	26	0	0	0	0	0	NA	NA
"Psocoptera"	43	90	0.95	"mean"	0.1	TRUE	26	0	0	0	0	0	NA	NA
"Psocoptera"	44	95	0.95	"mean"	0.1	TRUE	26	0	0	0	0	0	NA	NA
"Neuroptera"	39	84	0.99	"mean"	0.1	TRUE	159	15	58	2	4	2	0.0344827586206897	0.5
"Neuroptera"	40	84	0.95	"mean"	0.05	TRUE	159	15	58	1	4	1	0.0172413793103448	0.25
"Neuroptera"	41	84	0.9	"mean"	0.1	TRUE	159	17	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	42	84	0.9	"mean"	0.05	TRUE	159	16	58	1	4	1	0.0172413793103448	0.25
"Neuroptera"	43	90	0.95	"mean"	0.1	TRUE	159	13	58	1	4	1	0.0172413793103448	0.25
"Neuroptera"	44	95	0.95	"mean"	0.1	TRUE	159	8	58	1	4	1	0.0172413793103448	0.25
"Ephemeroptera"	39	84	0.99	"mean"	0.1	TRUE	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	40	84	0.95	"mean"	0.05	TRUE	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	41	84	0.9	"mean"	0.1	TRUE	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	42	84	0.9	"mean"	0.05	TRUE	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	43	90	0.95	"mean"	0.1	TRUE	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	44	95	0.95	"mean"	0.1	TRUE	51	3	39	1	2	0	0.0256410256410256	0
"Odonata"	39	84	0.99	"mean"	0.1	TRUE	136	16	20	1	3	1	0.05	0.333333333333333
