"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Mecoptera"	32	FALSE	"wdadn"	3	10	1	5	0	0	0	0	NA
"Mecoptera"	33	FALSE	"wdadn"	3.5	10	1	5	0	0	0	0	NA
"Mecoptera"	34	FALSE	"wdadn"	4	10	1	5	0	0	0	0	NA
"Raphidioptera"	31	FALSE	"wdadn"	2.5	5	0	3	0	0	0	0	NA
"Raphidioptera"	32	FALSE	"wdadn"	3	5	0	3	0	0	0	0	NA
"Raphidioptera"	33	FALSE	"wdadn"	3.5	5	0	3	0	0	0	0	NA
"Raphidioptera"	34	FALSE	"wdadn"	4	5	0	3	0	0	0	0	NA
"Thysanoptera"	31	FALSE	"wdadn"	2.5	80	0	57	0	3	3	0	1
"Thysanoptera"	32	FALSE	"wdadn"	3	80	0	57	0	3	3	0	1
"Thysanoptera"	33	FALSE	"wdadn"	3.5	80	0	57	0	3	3	0	1
"Thysanoptera"	34	FALSE	"wdadn"	4	80	0	57	0	3	3	0	1
"Psocoptera"	31	FALSE	"wdadn"	2.5	26	0	0	0	0	0	NA	NA
"Psocoptera"	32	FALSE	"wdadn"	3	26	0	0	0	0	0	NA	NA
"Psocoptera"	33	FALSE	"wdadn"	3.5	26	0	0	0	0	0	NA	NA
"Psocoptera"	34	FALSE	"wdadn"	4	26	0	0	0	0	0	NA	NA
"Neuroptera"	31	FALSE	"wdadn"	2.5	159	8	58	0	4	3	0	0.75
"Neuroptera"	32	FALSE	"wdadn"	3	159	8	58	0	4	3	0	0.75
"Neuroptera"	33	FALSE	"wdadn"	3.5	159	7	58	0	4	3	0	0.75
"Neuroptera"	34	FALSE	"wdadn"	4	159	5	58	0	4	4	0	1
"Ephemeroptera"	31	FALSE	"wdadn"	2.5	51	1	39	0	2	1	0	0.5
"Ephemeroptera"	32	FALSE	"wdadn"	3	51	1	39	0	2	1	0	0.5
"Ephemeroptera"	33	FALSE	"wdadn"	3.5	51	1	39	0	2	1	0	0.5
"Ephemeroptera"	34	FALSE	"wdadn"	4	51	1	39	0	2	1	0	0.5
"Odonata"	31	FALSE	"wdadn"	2.5	136	5	20	0	3	3	0	1
"Odonata"	32	FALSE	"wdadn"	3	136	3	20	0	3	3	0	1
"Odonata"	33	FALSE	"wdadn"	3.5	136	1	20	0	3	3	0	1
"Odonata"	34	FALSE	"wdadn"	4	136	1	20	0	3	3	0	1
"Megaloptera"	31	FALSE	"wdadn"	2.5	4	2	1	0	1	0	0	0
"Megaloptera"	32	FALSE	"wdadn"	3	4	2	1	0	1	0	0	0
"Megaloptera"	33	FALSE	"wdadn"	3.5	4	2	1	0	1	0	0	0
"Megaloptera"	34	FALSE	"wdadn"	4	4	1	1	0	1	1	0	1
"Poduromorpha"	31	FALSE	"wdadn"	2.5	432	104	86	1	40	37	0.0116279069767442	0.925
"Poduromorpha"	32	FALSE	"wdadn"	3	432	91	86	1	40	37	0.0116279069767442	0.925
"Poduromorpha"	33	FALSE	"wdadn"	3.5	432	80	86	1	40	37	0.0116279069767442	0.925
"Poduromorpha"	34	FALSE	"wdadn"	4	432	69	86	0	40	37	0	0.925
"Strepsiptera"	31	FALSE	"wdadn"	2.5	8	0	7	0	0	0	0	NA
"Strepsiptera"	32	FALSE	"wdadn"	3	8	0	7	0	0	0	0	NA
"Strepsiptera"	33	FALSE	"wdadn"	3.5	8	0	7	0	0	0	0	NA
"Strepsiptera"	34	FALSE	"wdadn"	4	8	0	7	0	0	0	0	NA
"Siphonaptera"	31	FALSE	"wdadn"	2.5	13	0	3	0	0	0	0	NA
"Siphonaptera"	32	FALSE	"wdadn"	3	13	0	3	0	0	0	0	NA
"Siphonaptera"	33	FALSE	"wdadn"	3.5	13	0	3	0	0	0	0	NA
"Siphonaptera"	34	FALSE	"wdadn"	4	13	0	3	0	0	0	0	NA
"Zygentoma"	31	FALSE	"wdadn"	2.5	14	3	1	0	1	1	0	1
"Zygentoma"	32	FALSE	"wdadn"	3	14	0	1	0	1	1	0	1
"Zygentoma"	33	FALSE	"wdadn"	3.5	14	0	1	0	1	1	0	1
"Zygentoma"	34	FALSE	"wdadn"	4	14	0	1	0	1	1	0	1
"Neelipleona"	31	FALSE	"wdadn"	2.5	22	0	9	0	7	7	0	1
"Neelipleona"	32	FALSE	"wdadn"	3	22	0	9	0	7	7	0	1
"Neelipleona"	33	FALSE	"wdadn"	3.5	22	0	9	0	7	7	0	1
"Neelipleona"	34	FALSE	"wdadn"	4	22	0	9	0	7	7	0	1
"Zoraptera"	31	FALSE	"wdadn"	2.5	7	0	0	0	0	0	NA	NA
"Zoraptera"	32	FALSE	"wdadn"	3	7	0	0	0	0	0	NA	NA
"Zoraptera"	33	FALSE	"wdadn"	3.5	7	0	0	0	0	0	NA	NA
"Zoraptera"	34	FALSE	"wdadn"	4	7	0	0	0	0	0	NA	NA
"Phthiraptera"	31	FALSE	"wdadn"	2.5	3	0	0	0	0	0	NA	NA
"Phthiraptera"	32	FALSE	"wdadn"	3	3	0	0	0	0	0	NA	NA
"Phthiraptera"	33	FALSE	"wdadn"	3.5	3	0	0	0	0	0	NA	NA
"Phthiraptera"	34	FALSE	"wdadn"	4	3	0	0	0	0	0	NA	NA
"Diplura"	31	FALSE	"wdadn"	2.5	12	1	3	0	2	2	0	1
"Diplura"	32	FALSE	"wdadn"	3	12	1	3	0	2	2	0	1
"Diplura"	33	FALSE	"wdadn"	3.5	12	1	3	0	2	2	0	1
"Diplura"	34	FALSE	"wdadn"	4	12	1	3	0	2	2	0	1
"Archaeognatha"	31	FALSE	"wdadn"	2.5	11	5	0	0	0	0	NA	NA
"Archaeognatha"	32	FALSE	"wdadn"	3	11	5	0	0	0	0	NA	NA
"Archaeognatha"	33	FALSE	"wdadn"	3.5	11	4	0	0	0	0	NA	NA
"Archaeognatha"	34	FALSE	"wdadn"	4	11	4	0	0	0	0	NA	NA
"Phasmatodea"	31	FALSE	"wdadn"	2.5	1	0	0	0	0	0	NA	NA
"Phasmatodea"	32	FALSE	"wdadn"	3	1	0	0	0	0	0	NA	NA
"Phasmatodea"	33	FALSE	"wdadn"	3.5	1	0	0	0	0	0	NA	NA
"Phasmatodea"	34	FALSE	"wdadn"	4	1	0	0	0	0	0	NA	NA
"Mantodea"	31	FALSE	"wdadn"	2.5	1	0	0	0	0	0	NA	NA
"Mantodea"	32	FALSE	"wdadn"	3	1	0	0	0	0	0	NA	NA
"Mantodea"	33	FALSE	"wdadn"	3.5	1	0	0	0	0	0	NA	NA
"Mantodea"	34	FALSE	"wdadn"	4	1	0	0	0	0	0	NA	NA
"Hexapoda"	31	FALSE	"wdadn"	2.5	47045	7966	18770	365	2091	1458	0.0194459243473628	0.697274031563845
"Hexapoda"	32	FALSE	"wdadn"	3	47045	6864	18770	223	2091	1570	0.0118806606286628	0.750836920133907
"Hexapoda"	33	FALSE	"wdadn"	3.5	47045	6009	18770	167	2091	1662	0.00889717634523175	0.794835007173601
"Hexapoda"	34	FALSE	"wdadn"	4	47045	5319	18770	118	2091	1727	0.00628662759722962	0.825920612147298
