"taxon"	"run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	31	FALSE	"wdadn"	2.5	19578	2817	8073	89	991	673	0.0110244023287502	0.679112008072654
"Diptera"	32	FALSE	"wdadn"	3	19578	2422	8073	58	991	723	0.00718444196705066	0.729566094853683
"Diptera"	33	FALSE	"wdadn"	3.5	19578	2128	8073	37	991	760	0.00458317849622197	0.766902119071645
"Diptera"	34	FALSE	"wdadn"	4	19578	1887	8073	26	991	792	0.00322061191626409	0.799192734611504
"Blattodea"	31	FALSE	"wdadn"	2.5	49	19	5	0	2	2	0	1
"Blattodea"	32	FALSE	"wdadn"	3	49	16	5	0	2	2	0	1
"Blattodea"	33	FALSE	"wdadn"	3.5	49	13	5	0	2	2	0	1
"Blattodea"	34	FALSE	"wdadn"	4	49	9	5	0	2	2	0	1
"Hymenoptera"	31	FALSE	"wdadn"	2.5	15886	2772	5680	243	491	330	0.0427816901408451	0.672097759674134
"Hymenoptera"	32	FALSE	"wdadn"	3	15886	2269	5680	143	491	362	0.0251760563380282	0.737270875763748
"Hymenoptera"	33	FALSE	"wdadn"	3.5	15886	1890	5680	110	491	391	0.0193661971830986	0.796334012219959
"Hymenoptera"	34	FALSE	"wdadn"	4	15886	1604	5680	78	491	408	0.0137323943661972	0.830957230142566
"Orthoptera"	31	FALSE	"wdadn"	2.5	1431	1166	27	5	13	11	0.185185185185185	0.846153846153846
"Orthoptera"	32	FALSE	"wdadn"	3	1431	1148	27	4	13	12	0.148148148148148	0.923076923076923
"Orthoptera"	33	FALSE	"wdadn"	3.5	1431	1129	27	4	13	12	0.148148148148148	0.923076923076923
"Orthoptera"	34	FALSE	"wdadn"	4	1431	1107	27	4	13	11	0.148148148148148	0.846153846153846
"Coleoptera"	31	FALSE	"wdadn"	2.5	3107	357	1698	3	233	158	0.00176678445229682	0.678111587982833
"Coleoptera"	32	FALSE	"wdadn"	3	3107	309	1698	3	233	175	0.00176678445229682	0.75107296137339
"Coleoptera"	33	FALSE	"wdadn"	3.5	3107	270	1698	3	233	186	0.00176678445229682	0.798283261802575
"Coleoptera"	34	FALSE	"wdadn"	4	3107	235	1698	3	233	193	0.00176678445229682	0.828326180257511
"Entomobryomorpha"	31	FALSE	"wdadn"	2.5	976	267	193	1	82	73	0.00518134715025907	0.890243902439024
"Entomobryomorpha"	32	FALSE	"wdadn"	3	976	223	193	2	82	75	0.0103626943005181	0.914634146341463
"Entomobryomorpha"	33	FALSE	"wdadn"	3.5	976	186	193	2	82	76	0.0103626943005181	0.926829268292683
"Entomobryomorpha"	34	FALSE	"wdadn"	4	976	141	193	0	82	77	0	0.939024390243902
"Hemiptera"	31	FALSE	"wdadn"	2.5	2142	204	878	3	116	85	0.00341685649202733	0.732758620689655
"Hemiptera"	32	FALSE	"wdadn"	3	2142	176	878	1	116	87	0.00113895216400911	0.75
"Hemiptera"	33	FALSE	"wdadn"	3.5	2142	145	878	2	116	95	0.00227790432801822	0.818965517241379
"Hemiptera"	34	FALSE	"wdadn"	4	2142	122	878	1	116	101	0.00113895216400911	0.870689655172414
"Lepidoptera"	31	FALSE	"wdadn"	2.5	1968	142	1587	16	47	23	0.0100819155639572	0.48936170212766
"Lepidoptera"	32	FALSE	"wdadn"	3	1968	113	1587	10	47	29	0.00630119722747322	0.617021276595745
"Lepidoptera"	33	FALSE	"wdadn"	3.5	1968	92	1587	8	47	33	0.00504095778197858	0.702127659574468
"Lepidoptera"	34	FALSE	"wdadn"	4	1968	82	1587	6	47	34	0.00378071833648393	0.723404255319149
"Dermaptera"	31	FALSE	"wdadn"	2.5	9	0	5	0	0	0	0	NA
"Dermaptera"	32	FALSE	"wdadn"	3	9	0	5	0	0	0	0	NA
"Dermaptera"	33	FALSE	"wdadn"	3.5	9	0	5	0	0	0	0	NA
"Dermaptera"	34	FALSE	"wdadn"	4	9	0	5	0	0	0	0	NA
"Plecoptera"	31	FALSE	"wdadn"	2.5	64	9	38	1	9	6	0.0263157894736842	0.666666666666667
"Plecoptera"	32	FALSE	"wdadn"	3	64	7	38	0	9	7	0	0.777777777777778
"Plecoptera"	33	FALSE	"wdadn"	3.5	64	5	38	0	9	7	0	0.777777777777778
"Plecoptera"	34	FALSE	"wdadn"	4	64	5	38	0	9	7	0	0.777777777777778
"Psocodea"	31	FALSE	"wdadn"	2.5	131	19	67	1	15	15	0.0149253731343284	1
"Psocodea"	32	FALSE	"wdadn"	3	131	11	67	0	15	15	0	1
"Psocodea"	33	FALSE	"wdadn"	3.5	131	7	67	0	15	15	0	1
"Psocodea"	34	FALSE	"wdadn"	4	131	4	67	0	15	15	0	1
"Symphypleona"	31	FALSE	"wdadn"	2.5	239	49	70	1	24	21	0.0142857142857143	0.875
"Symphypleona"	32	FALSE	"wdadn"	3	239	45	70	0	24	22	0	0.916666666666667
"Symphypleona"	33	FALSE	"wdadn"	3.5	239	37	70	0	24	24	0	1
"Symphypleona"	34	FALSE	"wdadn"	4	239	32	70	0	24	24	0	1
"Trichoptera"	31	FALSE	"wdadn"	2.5	470	15	157	1	5	4	0.00636942675159236	0.8
"Trichoptera"	32	FALSE	"wdadn"	3	470	13	157	1	5	4	0.00636942675159236	0.8
"Trichoptera"	33	FALSE	"wdadn"	3.5	470	10	157	0	5	4	0	0.8
"Trichoptera"	34	FALSE	"wdadn"	4	470	8	157	0	5	4	0	0.8
"Mecoptera"	31	FALSE	"wdadn"	2.5	10	1	5	0	0	0	0	NA
