"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Plecoptera"	12	28	FALSE	"wdadn"	3	64	24	38	4	9	2	0.105263157894737	0.222222222222222
"Psocodea"	1	9	TRUE	"wdadn"	1.1	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	2	9	TRUE	"dadn"	1.8	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	3	10	TRUE	"wdadn"	1.1	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	4	10	TRUE	"dadn"	1.8	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	5	27	TRUE	"wdadn"	1.1	131	29	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	6	27	TRUE	"dadn"	1.8	131	29	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	7	28	TRUE	"wdadn"	1.1	131	29	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	8	28	TRUE	"dadn"	1.8	131	29	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	9	9	FALSE	"wdadn"	3	131	36	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	10	10	FALSE	"wdadn"	3	131	37	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	11	27	FALSE	"wdadn"	3	131	34	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	12	28	FALSE	"wdadn"	3	131	35	67	2	15	8	0.0298507462686567	0.533333333333333
"Symphypleona"	1	9	TRUE	"wdadn"	1.1	239	100	70	6	24	10	0.0857142857142857	0.416666666666667
"Symphypleona"	2	9	TRUE	"dadn"	1.8	239	100	70	6	24	9	0.0857142857142857	0.375
"Symphypleona"	3	10	TRUE	"wdadn"	1.1	239	107	70	7	24	7	0.1	0.291666666666667
"Symphypleona"	4	10	TRUE	"dadn"	1.8	239	107	70	7	24	7	0.1	0.291666666666667
"Symphypleona"	5	27	TRUE	"wdadn"	1.1	239	101	70	6	24	11	0.0857142857142857	0.458333333333333
"Symphypleona"	6	27	TRUE	"dadn"	1.8	239	101	70	6	24	10	0.0857142857142857	0.416666666666667
"Symphypleona"	7	28	TRUE	"wdadn"	1.1	239	103	70	6	24	10	0.0857142857142857	0.416666666666667
"Symphypleona"	8	28	TRUE	"dadn"	1.8	239	103	70	6	24	9	0.0857142857142857	0.375
