"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	11	84	0.95	"max"	1	FALSE	19578	5341	8073	341	991	280	0.0422395639786944	0.282542885973764
"Diptera"	12	84	0.95	"mean"	1	FALSE	19578	5543	8073	399	991	254	0.0494240059457451	0.256306760847629
"Blattodea"	11	84	0.95	"max"	1	FALSE	49	44	5	2	2	0	0.4	0
"Blattodea"	12	84	0.95	"mean"	1	FALSE	49	45	5	2	2	0	0.4	0
"Hymenoptera"	11	84	0.95	"max"	1	FALSE	15886	3623	5680	170	491	224	0.0299295774647887	0.456211812627291
"Hymenoptera"	12	84	0.95	"mean"	1	FALSE	15886	3771	5680	181	491	208	0.0318661971830986	0.423625254582485
"Orthoptera"	11	84	0.95	"max"	1	FALSE	1431	541	27	5	13	2	0.185185185185185	0.153846153846154
"Orthoptera"	12	84	0.95	"mean"	1	FALSE	1431	607	27	6	13	2	0.222222222222222	0.153846153846154
"Coleoptera"	11	84	0.95	"max"	1	FALSE	3107	799	1698	52	233	39	0.0306242638398115	0.167381974248927
"Coleoptera"	12	84	0.95	"mean"	1	FALSE	3107	815	1698	55	233	34	0.0323910482921084	0.145922746781116
"Entomobryomorpha"	11	84	0.95	"max"	1	FALSE	976	582	193	30	82	18	0.155440414507772	0.219512195121951
"Entomobryomorpha"	12	84	0.95	"mean"	1	FALSE	976	614	193	34	82	16	0.176165803108808	0.195121951219512
"Hemiptera"	11	84	0.95	"max"	1	FALSE	2142	547	878	38	116	19	0.0432801822323462	0.163793103448276
"Hemiptera"	12	84	0.95	"mean"	1	FALSE	2142	561	878	41	116	17	0.0466970387243736	0.146551724137931
"Lepidoptera"	11	84	0.95	"max"	1	FALSE	1968	237	1587	42	47	11	0.0264650283553875	0.234042553191489
"Lepidoptera"	12	84	0.95	"mean"	1	FALSE	1968	245	1587	49	47	11	0.0308758664146188	0.234042553191489
"Dermaptera"	11	84	0.95	"max"	1	FALSE	9	2	5	1	0	0	0.2	NA
"Dermaptera"	12	84	0.95	"mean"	1	FALSE	9	2	5	1	0	0	0.2	NA
"Plecoptera"	11	84	0.95	"max"	1	FALSE	64	27	38	7	9	3	0.184210526315789	0.333333333333333
"Plecoptera"	12	84	0.95	"mean"	1	FALSE	64	28	38	7	9	2	0.184210526315789	0.222222222222222
"Psocodea"	11	84	0.95	"max"	1	FALSE	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	12	84	0.95	"mean"	1	FALSE	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
