"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	13	84	0.95	"max"	1	TRUE	-1	-1	8073	320	991	376	0.0396383005078657	0.37941473259334
"Diptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	8073	335	991	373	0.0414963458441719	0.376387487386478
"Blattodea"	13	84	0.95	"max"	1	TRUE	-1	-1	5	2	2	0	0.4	0
"Blattodea"	14	84	0.95	"mean"	1	TRUE	-1	-1	5	2	2	0	0.4	0
"Hymenoptera"	13	84	0.95	"max"	1	TRUE	-1	-1	5680	161	491	250	0.0283450704225352	0.509164969450102
"Hymenoptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	5680	163	491	248	0.0286971830985915	0.505091649694501
"Orthoptera"	13	84	0.95	"max"	1	TRUE	-1	-1	27	6	13	3	0.222222222222222	0.230769230769231
"Orthoptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	27	6	13	3	0.222222222222222	0.230769230769231
"Coleoptera"	13	84	0.95	"max"	1	TRUE	-1	-1	1698	44	233	53	0.0259128386336867	0.227467811158798
"Coleoptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	1698	45	233	52	0.0265017667844523	0.223175965665236
"Entomobryomorpha"	13	84	0.95	"max"	1	TRUE	-1	-1	193	29	82	24	0.150259067357513	0.292682926829268
"Entomobryomorpha"	14	84	0.95	"mean"	1	TRUE	-1	-1	193	29	82	24	0.150259067357513	0.292682926829268
"Hemiptera"	13	84	0.95	"max"	1	TRUE	-1	-1	878	32	116	35	0.0364464692482916	0.301724137931034
"Hemiptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	878	32	116	35	0.0364464692482916	0.301724137931034
"Lepidoptera"	13	84	0.95	"max"	1	TRUE	-1	-1	1587	40	47	17	0.0252047889098929	0.361702127659574
"Lepidoptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	1587	44	47	17	0.0277252678008822	0.361702127659574
"Dermaptera"	13	84	0.95	"max"	1	TRUE	-1	-1	5	1	0	0	0.2	NA
"Dermaptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	5	1	0	0	0.2	NA
"Plecoptera"	13	84	0.95	"max"	1	TRUE	-1	-1	38	5	9	4	0.131578947368421	0.444444444444444
"Plecoptera"	14	84	0.95	"mean"	1	TRUE	-1	-1	38	5	9	4	0.131578947368421	0.444444444444444
"Psocodea"	13	84	0.95	"max"	1	TRUE	-1	-1	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	14	84	0.95	"mean"	1	TRUE	-1	-1	67	2	15	8	0.0298507462686567	0.533333333333333
