"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	8073	279	991	387	0.0345596432552954	0.390514631685166
"Diptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	8073	288	991	384	0.0356744704570792	0.387487386478305
"Diptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	8073	286	991	308	0.035426731078905	0.31079717457114
"Diptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	8073	338	991	267	0.0418679549114332	0.269424823410696
"Blattodea"	15	84	0.95	"max"	0.5	TRUE	-1	-1	5	2	2	0	0.4	0
"Blattodea"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	5	2	2	0	0.4	0
"Blattodea"	17	84	0.95	"max"	0.5	FALSE	-1	-1	5	2	2	1	0.4	0.5
"Blattodea"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	5	2	2	0	0.4	0
"Hymenoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	5680	135	491	265	0.0237676056338028	0.539714867617108
"Hymenoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	5680	141	491	260	0.0248239436619718	0.529531568228106
"Hymenoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	5680	137	491	255	0.0241197183098592	0.519348268839104
"Hymenoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	5680	157	491	222	0.0276408450704225	0.45213849287169
"Orthoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	27	6	13	4	0.222222222222222	0.307692307692308
"Orthoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	27	6	13	4	0.222222222222222	0.307692307692308
"Orthoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	27	5	13	3	0.185185185185185	0.230769230769231
"Orthoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	27	5	13	2	0.185185185185185	0.153846153846154
"Coleoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	1698	41	233	58	0.0241460541813899	0.248927038626609
"Coleoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	1698	42	233	54	0.0247349823321555	0.23175965665236
"Coleoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	1698	47	233	50	0.0276796230859835	0.214592274678112
"Coleoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	1698	52	233	36	0.0306242638398115	0.15450643776824
"Entomobryomorpha"	15	84	0.95	"max"	0.5	TRUE	-1	-1	193	27	82	28	0.139896373056995	0.341463414634146
"Entomobryomorpha"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	193	27	82	26	0.139896373056995	0.317073170731707
"Entomobryomorpha"	17	84	0.95	"max"	0.5	FALSE	-1	-1	193	22	82	27	0.113989637305699	0.329268292682927
"Entomobryomorpha"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	193	31	82	19	0.160621761658031	0.231707317073171
"Hemiptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	878	27	116	35	0.030751708428246	0.301724137931034
"Hemiptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	878	27	116	35	0.030751708428246	0.301724137931034
"Hemiptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	878	32	116	20	0.0364464692482916	0.172413793103448
"Hemiptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	878	35	116	18	0.0398633257403189	0.155172413793103
"Lepidoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	1587	32	47	19	0.0201638311279143	0.404255319148936
"Lepidoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	1587	35	47	19	0.0220541902961563	0.404255319148936
"Lepidoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	1587	33	47	13	0.0207939508506616	0.276595744680851
"Lepidoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	1587	38	47	13	0.0239445494643982	0.276595744680851
"Dermaptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	5	1	0	0	0.2	NA
"Dermaptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	5	1	0	0	0.2	NA
"Dermaptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	5	1	0	0	0.2	NA
"Dermaptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	5	1	0	0	0.2	NA
"Plecoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	38	4	9	4	0.105263157894737	0.444444444444444
"Plecoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	38	6	9	3	0.157894736842105	0.333333333333333
"Plecoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	38	6	9	2	0.157894736842105	0.222222222222222
"Psocodea"	15	84	0.95	"max"	0.5	TRUE	-1	-1	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	17	84	0.95	"max"	0.5	FALSE	-1	-1	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	67	2	15	7	0.0298507462686567	0.466666666666667
"Symphypleona"	15	84	0.95	"max"	0.5	TRUE	-1	-1	70	6	24	12	0.0857142857142857	0.5
"Symphypleona"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	70	6	24	11	0.0857142857142857	0.458333333333333
"Symphypleona"	17	84	0.95	"max"	0.5	FALSE	-1	-1	70	6	24	10	0.0857142857142857	0.416666666666667
"Symphypleona"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	70	7	24	7	0.1	0.291666666666667
"Trichoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	157	2	5	0	0.0127388535031847	0
"Trichoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	157	2	5	0	0.0127388535031847	0
"Trichoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	157	2	5	0	0.0127388535031847	0
"Trichoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	157	2	5	0	0.0127388535031847	0
"Mecoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	5	0	0	0	0	NA
"Mecoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	5	0	0	0	0	NA
"Mecoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	5	1	0	0	0.2	NA
"Mecoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	5	1	0	0	0.2	NA
"Raphidioptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	3	0	0	0	0	NA
"Raphidioptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	3	0	0	0	0	NA
"Raphidioptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	3	0	0	0	0	NA
"Raphidioptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	3	0	0	0	0	NA
"Thysanoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	57	0	3	2	0	0.666666666666667
"Psocoptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Psocoptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Psocoptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Psocoptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Neuroptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	58	2	4	0	0.0344827586206897	0
"Ephemeroptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	39	1	2	0	0.0256410256410256	0
"Odonata"	15	84	0.95	"max"	0.5	TRUE	-1	-1	20	1	3	1	0.05	0.333333333333333
"Odonata"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	20	1	3	1	0.05	0.333333333333333
"Odonata"	17	84	0.95	"max"	0.5	FALSE	-1	-1	20	1	3	0	0.05	0
"Odonata"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	20	1	3	0	0.05	0
"Megaloptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	1	0	1	0	0	0
"Megaloptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	1	0	1	0	0	0
"Megaloptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	1	0	1	0	0	0
"Megaloptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	1	0	1	0	0	0
"Poduromorpha"	15	84	0.95	"max"	0.5	TRUE	-1	-1	86	5	40	19	0.0581395348837209	0.475
"Poduromorpha"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	86	5	40	19	0.0581395348837209	0.475
"Poduromorpha"	17	84	0.95	"max"	0.5	FALSE	-1	-1	86	4	40	14	0.0465116279069767	0.35
"Poduromorpha"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	86	5	40	14	0.0581395348837209	0.35
"Strepsiptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	7	0	0	0	0	NA
"Strepsiptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	7	0	0	0	0	NA
"Strepsiptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	7	0	0	0	0	NA
"Strepsiptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	7	0	0	0	0	NA
"Siphonaptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	3	0	0	0	0	NA
"Siphonaptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	3	0	0	0	0	NA
"Siphonaptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	3	0	0	0	0	NA
"Siphonaptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	3	0	0	0	0	NA
"Zygentoma"	15	84	0.95	"max"	0.5	TRUE	-1	-1	1	0	1	0	0	0
"Zygentoma"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	1	0	1	0	0	0
"Zygentoma"	17	84	0.95	"max"	0.5	FALSE	-1	-1	1	0	1	0	0	0
"Zygentoma"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	1	0	1	0	0	0
"Neelipleona"	15	84	0.95	"max"	0.5	TRUE	-1	-1	9	0	7	5	0	0.714285714285714
"Neelipleona"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	9	0	7	5	0	0.714285714285714
"Neelipleona"	17	84	0.95	"max"	0.5	FALSE	-1	-1	9	0	7	3	0	0.428571428571429
"Neelipleona"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	9	0	7	3	0	0.428571428571429
"Zoraptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Zoraptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Zoraptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Zoraptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Phthiraptera"	15	84	0.95	"max"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Phthiraptera"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Phthiraptera"	17	84	0.95	"max"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Phthiraptera"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Diplura"	15	84	0.95	"max"	0.5	TRUE	-1	-1	3	0	2	1	0	0.5
"Diplura"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	3	0	2	1	0	0.5
"Diplura"	17	84	0.95	"max"	0.5	FALSE	-1	-1	3	0	2	0	0	0
"Diplura"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	3	0	2	0	0	0
"Archaeognatha"	15	84	0.95	"max"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Archaeognatha"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Archaeognatha"	17	84	0.95	"max"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Archaeognatha"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Phasmatodea"	15	84	0.95	"max"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Phasmatodea"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Phasmatodea"	17	84	0.95	"max"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Phasmatodea"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Mantodea"	15	84	0.95	"max"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Mantodea"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	0	0	0	0	NA	NA
"Mantodea"	17	84	0.95	"max"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Mantodea"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	0	0	0	0	NA	NA
"Hexapoda"	15	84	0.95	"max"	0.5	TRUE	-1	-1	18770	573	2091	849	0.0305274374001066	0.406025824964132
"Hexapoda"	16	84	0.95	"mean"	0.5	TRUE	-1	-1	18770	592	2091	834	0.0315396909962706	0.398852223816356
"Hexapoda"	17	84	0.95	"max"	0.5	FALSE	-1	-1	18770	590	2091	717	0.0314331379861481	0.342898134863702
"Hexapoda"	18	84	0.95	"mean"	0.5	FALSE	-1	-1	18770	686	2091	612	0.0365476824720298	0.292682926829268
