"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Diptera"	13	3	TRUE	"wdadn"	1.1	19578	4840	8073	221	991	308	0.0273752012882448	0.31079717457114
"Diptera"	14	3	TRUE	"dadn"	1.8	19578	4910	8073	232	991	305	0.0287377678682026	0.307769929364278
"Diptera"	15	4	TRUE	"wdadn"	1.1	19578	4790	8073	215	991	325	0.0266319831537223	0.32795156407669
"Diptera"	16	4	TRUE	"dadn"	1.8	19578	4873	8073	226	991	318	0.0279945497336802	0.320887991927346
"Diptera"	17	19	TRUE	"wdadn"	1.1	19578	4803	8073	215	991	321	0.0266319831537223	0.323915237134208
"Diptera"	18	19	TRUE	"dadn"	1.8	19578	4886	8073	226	991	314	0.0279945497336802	0.316851664984864
"Diptera"	19	20	TRUE	"wdadn"	1.1	19578	5037	8073	244	991	283	0.0302242041372476	0.285570131180626
"Diptera"	20	20	TRUE	"dadn"	1.8	19578	5127	8073	253	991	277	0.0313390313390313	0.279515640766902
"Blattodea"	13	3	TRUE	"wdadn"	1.1	49	44	5	2	2	0	0.4	0
"Blattodea"	14	3	TRUE	"dadn"	1.8	49	44	5	2	2	0	0.4	0
"Blattodea"	15	4	TRUE	"wdadn"	1.1	49	40	5	2	2	2	0.4	1
"Blattodea"	16	4	TRUE	"dadn"	1.8	49	40	5	2	2	2	0.4	1
"Blattodea"	17	19	TRUE	"wdadn"	1.1	49	40	5	2	2	2	0.4	1
"Blattodea"	18	19	TRUE	"dadn"	1.8	49	40	5	2	2	2	0.4	1
"Blattodea"	19	20	TRUE	"wdadn"	1.1	49	43	5	2	2	1	0.4	0.5
"Blattodea"	20	20	TRUE	"dadn"	1.8	49	43	5	2	2	1	0.4	0.5
"Hymenoptera"	13	3	TRUE	"wdadn"	1.1	15886	3190	5680	131	491	239	0.0230633802816901	0.486761710794297
"Hymenoptera"	14	3	TRUE	"dadn"	1.8	15886	3273	5680	150	491	230	0.0264084507042254	0.468431771894094
"Hymenoptera"	15	4	TRUE	"wdadn"	1.1	15886	3090	5680	127	491	249	0.0223591549295775	0.507128309572301
"Hymenoptera"	16	4	TRUE	"dadn"	1.8	15886	3182	5680	144	491	243	0.0253521126760563	0.494908350305499
"Hymenoptera"	17	19	TRUE	"wdadn"	1.1	15886	3096	5680	128	491	248	0.0225352112676056	0.505091649694501
"Hymenoptera"	18	19	TRUE	"dadn"	1.8	15886	3188	5680	145	491	242	0.0255281690140845	0.492871690427699
"Hymenoptera"	19	20	TRUE	"wdadn"	1.1	15886	3293	5680	136	491	231	0.023943661971831	0.470468431771894
"Hymenoptera"	20	20	TRUE	"dadn"	1.8	15886	3364	5680	154	491	226	0.027112676056338	0.460285132382892
"Orthoptera"	13	3	TRUE	"wdadn"	1.1	1431	627	27	6	13	3	0.222222222222222	0.230769230769231
"Orthoptera"	14	3	TRUE	"dadn"	1.8	1431	627	27	6	13	4	0.222222222222222	0.307692307692308
"Orthoptera"	15	4	TRUE	"wdadn"	1.1	1431	623	27	7	13	3	0.259259259259259	0.230769230769231
"Orthoptera"	16	4	TRUE	"dadn"	1.8	1431	622	27	7	13	3	0.259259259259259	0.230769230769231
"Orthoptera"	17	19	TRUE	"wdadn"	1.1	1431	624	27	7	13	3	0.259259259259259	0.230769230769231
