Diptera
Blattodea
Hymenoptera
Orthoptera
Coleoptera
Entomobryomorpha
Hemiptera
Lepidoptera
Opiliones
Dermaptera
Plecoptera
Psocodea
Araneae
Symphypleona
Trichoptera
Mecoptera
Raphidioptera
Sarcoptiformes
Thysanoptera
Psocoptera
Isopoda
Neuroptera
Lithobiomorpha
Trombidiformes
Ephemeroptera
Odonata
Primates
Megaloptera
Mesostigmata
Soricomorpha
Peronosporales
Poduromorpha
Strepsiptera
Artiodactyla
Stylommatophora
Rodentia
Rhabditida
Pseudoscorpiones
Ixodida
Polyxenida
Gordioidea
Galliformes
Carnivora
Albuginales
Julida
Crassiclitellata
Polydesmida
Perciformes
Gruiformes
Anostraca
Siphonaptera
Sphaeriida
Passeriformes
Lagomorpha
Saprolegniales
Apochela
Enchytraeida
Zygentoma
Clupeiformes
Parachela
Perissodactyla
Cypriniformes
Lumbriculida
Columbiformes
Accipitriformes
Podocopida
Chordeumatida
Anura
Geophilomorpha
Ceramiales
Haplotaxida
Salmoniformes
Gadiformes
Falconiformes
Neelipleona
Apodiformes
Zoraptera
Charadriiformes
Diplostraca
Cyclopoida
Tricladida
Tubificida
Caudata
Anseriformes
Echiniscoidea
Strigiformes
Anthoathecata
Decapoda
Gasterosteiformes
Phthiraptera
Dorylaimida
Scorpaeniformes
Esociformes
Diplura
Unionida
Suliformes
Archaeognatha
Ellobiida
Phasmatodea
Mantodea
Mononchida
