ASV	cluster	rep_asv
e42983c5464b3b9b695ad2098ed813f8	Chloropidae_cluster39	3e4b44215b35e1001585449f2d29f7b3
6cd52816977a62ca191beadff204b3c3	Carabidae_cluster68	6cd52816977a62ca191beadff204b3c3
fdd6c972f2c4264054e479d029b7400e	Curculionidae_cluster5	df8078434ea68be0d101971e8df4a552
d79a66e6195efdd132538bc9826df7af	Fanniidae_cluster29	d79a66e6195efdd132538bc9826df7af
bc0bcf54cec133eb96e436677cb4a6f8	Sciaridae_cluster165	b99f9ac1f0042e5eca3e416201f51721
91aa845a2384443369043f02d14d19e1	Cantharidae_cluster13	91aa845a2384443369043f02d14d19e1
233a8fed6c76607ef59e727c6c81723c	Tortricidae_cluster209	640ee0c58d4a9ed113c7bfd2d1dc510d
65304a32aae3db3c0e36f4c335c00e9a	Crambidae_cluster4	65304a32aae3db3c0e36f4c335c00e9a
7d6c2c03e4e8a7515b56fb62b8c49d08	Syrphidae_cluster34	7d6c2c03e4e8a7515b56fb62b8c49d08
077347061ed098183b5c03eb74cbea6d	Muscidae_cluster156	077347061ed098183b5c03eb74cbea6d
913bd037f10c772364b6c7230061a101	Baetidae_cluster1	913bd037f10c772364b6c7230061a101
fd4ef604c87a139596cc8457f0095cd3	Limoniidae_cluster2	74e995816c9acd087b0c35bbbca0fcdb
992cf145b8d85c834b266192d5d7e730	Chrysopidae_cluster1	dd398e88ed82e3060b4e30454699b99b
4b844fec4899248734548bf91d47dd19	Miridae_cluster128	4b844fec4899248734548bf91d47dd19
244e71f0f4e0efcf9c63dc280e4d0061	Tabanidae_cluster14	244e71f0f4e0efcf9c63dc280e4d0061
4c9663ef8f6609f5dce768b479d38ae0	Heptageniidae_cluster4	4c9663ef8f6609f5dce768b479d38ae0
cd8ba9e0e6d1c1872ff0adee4b23ad4d	Tortricidae_cluster168	cd8ba9e0e6d1c1872ff0adee4b23ad4d
ed57f98b1e5214718d11df1597199e5a	Gelechiidae_cluster100	50bd180396d72ef4faeac72b739f13cf
9e977662426261d09370e3fde9c6f1c4	Delphacidae_cluster30	9e977662426261d09370e3fde9c6f1c4
fb50ee8302785ae526287fa0272a3f3c	Geometridae_cluster63	07780ba0823044a1a589c8df12a1b87f
ae8db7bed5233bcac6bf4f865a3a163f	Tenthredinidae_cluster121	c128c170ef9379187112eba8148c3d72
d05e38138cd4b9a7d4057aeaab2fb8d5	Acanthosomatidae_cluster4	d05e38138cd4b9a7d4057aeaab2fb8d5
f8a24173342a5677bfc3991e2fe2cb80	Incurvariidae_cluster14	f8a24173342a5677bfc3991e2fe2cb80
3788e63e3859954d87387270774200b2	Caeciliusidae_cluster4	e56d3c223a27d641974d3e6905c44db8
57026b4147fe15d19054c3be6911f1dd	Syrphidae_cluster97	57026b4147fe15d19054c3be6911f1dd
2ba5efc27a4113493b8dcdf469b85aba	Geometridae_cluster177	2ba5efc27a4113493b8dcdf469b85aba
4fff7da1cb5443c5e14d19efe48899f0	Tortricidae_cluster69	f75c13da8b2b2c2e88afcbc954d37072
b5b717685a0a72c152476f13a91503f2	Coccinellidae_cluster75	d8d2cbd5c0a20c7ba4b4e2e8a0268fe0
d36cbf36aeacaf54bb0e0ab454d0a16a	Muscidae_cluster58	39b1ae7285207e0958a02858b2e1641a
92751f84d3da1d28d27296729e0453cd	Mycetophilidae_cluster219	92751f84d3da1d28d27296729e0453cd
f150518b1ec58f6e816701bc2caa1739	Geometridae_cluster98	e0ac01062bd732253edc72dfe1f84323
c9258facc5f26d44e171cbc7887e5045	Chironomidae_cluster580	b9d3377bc9aa9b72b16964420adc5884
7e8e8b287ad8258e67558421b077e97a	Geometridae_cluster3	7e8e8b287ad8258e67558421b077e97a
d91ca2578f8715e7258d942e6d6b16df	Nepticulidae_cluster12	d91ca2578f8715e7258d942e6d6b16df
8b6b6dcfc1c523b062cdd4a5b06851cc	Erebidae_cluster28	8b6b6dcfc1c523b062cdd4a5b06851cc
0bc7f5ed0e65bba83f9c98643c24069f	Pteromalidae_cluster199	0bc7f5ed0e65bba83f9c98643c24069f
75154a9238d4482e4d3841dd27b0dafe	Apidae_cluster37	75154a9238d4482e4d3841dd27b0dafe
ba5669e6300e1d25bcc736c94be34394	Tipulidae_cluster71	ba5669e6300e1d25bcc736c94be34394
411aae86bc36a6a5146ec19a6981e3b6	Geometridae_cluster67	5a8965734691139541c557a34d94d6fd
701f35c6d2e365f0bc82666735287585	Trogiidae_cluster1	701f35c6d2e365f0bc82666735287585
2c879903dde937b1207f573d86f1afcd	Tenthredinidae_cluster173	2c879903dde937b1207f573d86f1afcd
5082c6ea72d216f00fb1ed29d7877487	Staphylinidae_cluster213	5082c6ea72d216f00fb1ed29d7877487
2d5ae8b793aa5b91f28a80adc3751f74	Anthomyiidae_cluster153	2d5ae8b793aa5b91f28a80adc3751f74
de90f1a10cb6c5b36f13bd4fbbe94a03	Mycetophilidae_cluster776	de90f1a10cb6c5b36f13bd4fbbe94a03
b9b3e64752668c67a2ffee73119fb462	Tenthredinidae_cluster54	51e9edc0235964f95dff2bc5e4a656ce
4ceb27c7c50d569c02694ac4d9895e41	Staphylinidae_cluster126	609c39af29442e9730861ce3d01d5bfe
21d52fd431d8597355998e3d80b12384	Geometridae_cluster112	b72cc235388980dccc8ba6f2f419e7d5
