"Family"	"Order"	"Known_2017"	"Estimated"	"prop_known"
"Trichogrammatidae"	"Hymenoptera"	18	25	0.72
"Trichopsocidae"	"Psocoptera"	2	2	1
"Trigonalidae"	"Hymenoptera"	0	1	0
"Trimenoponidae"	"Phthiraptera"	1	1	1
"Triozidae"	"Hemiptera"	33	35	0.942857142857143
"Trixoscelididae"	"Diptera"	4	4	1
"Trogidae"	"Coleoptera"	3	3	1
"Trogiidae"	"Psocoptera"	5	7	0.714285714285714
"Trogossitidae"	"Coleoptera"	10	10	1
"Ulidiidae"	"Diptera"	19	20	0.95
"Ulopidae"	"Hemiptera"	1	1	1
"Urodidae"	"Lepidoptera"	1	1	1
"Vanhorniidae"	"Hymenoptera"	1	1	1
"Veliidae"	"Hemiptera"	4	4	1
"Vermipsyllidae"	"Siphonaptera"	2	3	0.666666666666667
"Vespidae"	"Hymenoptera"	50	54	0.925925925925926
"Xenidae"	"Strepsiptera"	1	1	1
"Xiphydriidae"	"Hymenoptera"	4	4	1
"Xyelidae"	"Hymenoptera"	2	2	1
"Xylomyidae"	"Diptera"	3	3	1
"Xylophagidae"	"Diptera"	5	5	1
"Yponomeutidae"	"Lepidoptera"	27	27	1
"Ypsolophidae"	"Lepidoptera"	18	19	0.947368421052632
"Zopheridae"	"Coleoptera"	11	11	1
"Zygaenidae"	"Lepidoptera"	7	7	1
